,Equal Usage,,,,,Unequal Usage,,
,,,,,,,,
,Word,Topic 1 ,Topic 2,,,Word,Topic 1 ,Topic 2
,,,,,,,,
1,Compact,Science,Social Studies,,1,Bull,Language Arts,Social Studies
,,Compact Bone,Formal Agreement,,,,Animal,Battle
,,10,14,,,,73,15
2,Hamper,Language Arts,Social Studies,,2,Gum,Language Arts,Health
,,Large Basket,Impede,,,,Chewing Gum,Teeth Gum
,,4,5,,,,29,14
3,Capital,Language Arts,Business,,3,Cap,Language Arts,Science
,,"City, Letters",Funds,,,,hat,"ice cap, tooth "
,,103,153,,,,120,28
4,Net,Language Arts,Business,,4,Chip,Language Arts,Social Studies
,,Mesh,Total,,,,name,"electronic, small pieces"
,,51,49,,,,57,11
5,Slip,Science,Business,,5,Pitch,Language Arts,Science
,,Movement,Paper,,,,"lend, extreme,sports",music
,,16,10,,,,51,24
6,Plane,Industrial Arts,Social Studies,,6,Compound,Language Arts,Science
,,Tool,Airplane,,,,mixture ,chemical
,,35,48,,,,103,216
7,Heel,Health,Social Studies,,7,Hull,Science,Social Studies
,,Anatomy,Position,,,,Ship Body,Name
,,3,5,,,,3,28
8,Pupil,Science,Social Studies,,8,Mount,Science,Industrial Arts
,,Eye,Student,,,,Mountain,Set up
,,25,24,,,,33,7
,,,,,9,Firm,Business,Health
,,,,,,,Company,Stiffness
,,,,,,,45,5
,,,,,10,Bud,Language Arts,Science
,,,,,,,name,flower
,,,,,,,64,24
