,car,glass,plate,truck,Vehicles,Dinnerware,closer to vehicles,closer to dinnerware,,,,,
0,0.1480830702,0.1370746143,0.1299205444,0.1463003807,0.1471917254,0.1334975793,False,True,,,,,
1,0.0521636853,0.0869614303,0.0757003353,0.0566881473,0.0544259163,0.0813308828,True,False,,,,,
2,0.1346260926,0.1322692498,0.1509996678,0.1075784398,0.1211022662,0.1416344588,True,False,,,,,
3,0.0970533668,0.0897949179,0.1035186625,0.0858934593,0.0914734131,0.0966567902,True,False,,,,,
4,0.0673519793,0.0725910553,0.0843176443,0.0629635456,0.0651577624,0.0784543498,True,False,,,,,
5,0.0691280029,0.0972069865,0.1166162184,0.0971103734,0.0831191881,0.1069116024,True,False,,,,,
6,0.1345180489,0.1466313569,0.1367411101,0.1024518727,0.1184849608,0.1416862335,True,False,,,Ordering,,
7,0.1627120397,0.1315629113,0.1282064019,0.1153076203,0.13900983,0.1298846566,False,True,,,First,Dinnerware,2960
8,0.0927926001,0.103253921,0.1186451001,0.0758217112,0.0843071557,0.1109495105,True,False,,,Second,Vehicle,100
9,0.1310490383,0.1428942188,0.1595702624,0.1106244902,0.1208367642,0.1512322406,True,False,,,,,
10,0.0464207804,0.0507240777,0.0442086959,0.0395349398,0.0429778601,0.0474663868,True,False,,,Number,,
11,0.1327678608,0.1195699512,0.1076827703,0.1127511175,0.1227594892,0.1136263607,False,True,,,Break Closer to Vehicles,7190,
12,0.1038776813,0.1133287959,0.1080615603,0.0937697135,0.0988236974,0.1106951781,True,False,,,Break Closer to Dinnerware,2810,
13,0.1222255764,0.1362837062,0.1189983024,0.1506563483,0.1364409624,0.1276410043,False,True,,,,,
14,0.1004314811,0.0732790055,0.0644100271,0.058434577,0.0794330291,0.0688445163,False,True,,,Proportion,,
15,0.0618239937,0.0728351737,0.0668630761,0.0527815584,0.0573027761,0.0698491249,True,False,,,Break Closer to Vehicles,0.719,
16,0.2215970189,0.1790375706,0.1897976667,0.1498197222,0.1857083706,0.1844176187,False,True,,,Break Closer to Dinnerware,0.281,
17,0.1417002333,0.162099716,0.122790529,0.0877953517,0.1147477925,0.1424451225,True,False,,,,,
18,0.1674207571,0.1590015257,0.1501793724,0.107077725,0.1372492411,0.1545904491,True,False,,,,,
19,0.0927939945,0.0636483918,0.053182853,0.0721140995,0.082454047,0.0584156224,False,True,,,,,
20,0.0932295311,0.0981320259,0.0814596178,0.0684520526,0.0808407918,0.0897958218,True,False,,,,,
21,0.0481878805,0.0504509192,0.0356176381,0.0294033611,0.0387956208,0.0430342786,True,False,,,,,
22,0.0609570365,0.0747729482,0.0596775238,0.0566094836,0.05878326,0.067225236,True,False,,,,,
23,0.0572968549,0.053254204,0.0349497862,0.0542128788,0.0557548668,0.0441019951,False,True,,,,,
