,car,glass,plate,truck,Vehicles,Dinnerware,closer to vehicles,closer to dinnerware,,,,
0,0.0974891251,0.1163619654,0.0978089563,0.1145145369,0.106001831,0.1070854608,True,False,,,,
1,0.0620425127,0.0961359065,0.0948803651,0.0811681614,0.071605337,0.0955081358,True,False,,,,
2,0.1296458298,0.1584612462,0.1469872362,0.1240535995,0.1268497146,0.1527242412,True,False,,,,
3,0.0740079224,0.1007751452,0.0892067476,0.1131768723,0.0935923973,0.0949909464,True,False,,,,
4,0.0768249873,0.0707752588,0.0791304773,0.0746605007,0.075742744,0.0749528681,False,True,,Ordering,,
5,0.0945233691,0.11268948,0.1435792772,0.0990507842,0.0967870767,0.1281343786,True,False,,First,Dinnerware,2960
6,0.1143758027,0.1128496714,0.1176013019,0.1182873954,0.1163315991,0.1152254866,False,True,,Second,Vehicle,50
7,0.1234666052,0.1110144996,0.1255289119,0.114334538,0.1189005716,0.1182717058,False,True,,,,
8,0.0825338689,0.1109508192,0.1076586477,0.0824273949,0.0824806319,0.1093047334,True,False,,Number,,
9,0.1242323218,0.1441740628,0.1561920358,0.1183364539,0.1212843879,0.1501830493,True,False,,Break Closer to Vehicles,7832,
10,0.0564675861,0.0522945021,0.0576708195,0.0501608625,0.0533142243,0.0549826608,True,False,,Break Closer to Dinnerware,2168,
11,0.1139851126,0.0988515702,0.0901198664,0.119149256,0.1165671843,0.0944857183,False,True,,,,
12,0.1106128801,0.1390475922,0.1319716271,0.1383911743,0.1245020272,0.1355096097,True,False,,Proportion,,
13,0.1158151805,0.1440599967,0.1128274182,0.1315130773,0.1236641289,0.1284437075,True,False,,Break Closer to Vehicles,0.7832,
14,0.0929605337,0.0803960808,0.0977430367,0.0924803416,0.0927204377,0.0890695587,False,True,,Break Closer to Dinnerware,0.2168,
15,0.0635358239,0.0637575714,0.05852131,0.0599303512,0.0617330875,0.0611394407,False,True,,,,
16,0.1449830283,0.1330644944,0.1547046221,0.1174140829,0.1311985556,0.1438845583,True,False,,,,
17,0.12754865,0.1517364315,0.1230492093,0.1166561839,0.122102417,0.1373928204,True,False,,,,
18,0.1355675735,0.135881642,0.1370261147,0.1095394335,0.1225535035,0.1364538783,True,False,,,,
19,0.0537264414,0.0406486603,0.0567099483,0.0530031064,0.0533647739,0.0486793043,False,True,,,,
20,0.0916420402,0.1371236912,0.0876011769,0.0786022272,0.0851221337,0.1123624341,True,False,,,,
21,0.030065307,0.0361381943,0.0327008586,0.0249681384,0.0275167227,0.0344195264,True,False,,,,
22,0.055989907,0.0529340967,0.0622184942,0.0687009581,0.0623454326,0.0575762954,False,True,,,,
23,0.0468978398,0.0681174792,0.0355646242,0.07319338,0.0600456099,0.0518410517,False,True,,,,
24,0.0943234222,0.0932040528,0.1103935519,0.0817414234,0.0880324228,0.1017988024,True,False,,,,
25,0.0784764341,0.0783456492,0.0909900452,0.0866090356,0.0825427349,0.0846678472,True,False,,,,
26,0.0665575673,0.0601250569,0.0855559002,0.0658253098,0.0661914386,0.0728404786,True,False,,,,
27,0.0540890774,0.074662066,0.0850626283,0.0671393026,0.06061419,0.0798623472,True,False,,,,
28,0.0713697225,0.0957040166,0.1019046245,0.0915631871,0.0814664548,0.0988043206,True,False,,,,
29,0.1131567754,0.1042568176,0.0997283416,0.0874736478,0.1003152116,0.1019925796,True,False,,,,
30,0.0629265634,0.1078103801,0.079357283,0.0658832026,0.064404883,0.0935838316,True,False,,,,
31,0.1137008812,0.0861927932,0.0777386458,0.0824224513,0.0980616662,0.0819657195,False,True,,,,
32,0.0641305329,0.0726100063,0.080533717,0.0818180896,0.0729743113,0.0765718616,True,False,,,,
33,0.0836881735,0.0835921614,0.0823906411,0.0931459747,0.0884170741,0.0829914012,False,True,,,,
34,0.0904484737,0.1126178471,0.0762588634,0.0769812606,0.0837148671,0.0944383552,True,False,,,,
35,0.0587919721,0.0968776747,0.0756991022,0.0662755745,0.0625337733,0.0862883885,True,False,,,,
36,0.081301718,0.0935328337,0.1105056129,0.1214685526,0.1013851353,0.1020192233,True,False,,,,
37,0.1154984804,0.2047284069,0.110860938,0.146232618,0.1308655492,0.1577946724,True,False,,,,
38,0.0701501892,0.0782791929,0.0731824181,0.0686306471,0.0693904181,0.0757308055,True,False,,,,
39,0.0803167295,0.0863215658,0.0686660455,0.0579532268,0.0691349782,0.0774938057,True,False,,,,
40,0.0747028673,0.0629097703,0.0685307594,0.0612097841,0.0679563257,0.0657202649,False,True,,,,
41,0.1074673922,0.1198513772,0.1149668663,0.1311546209,0.1193110065,0.1174091217,False,True,,,,
42,0.0459461989,0.0457624895,0.0621612252,0.0436661218,0.0448061603,0.0539618574,True,False,,,,
43,0.0615737804,0.0600577755,0.0904259167,0.0707729087,0.0661733445,0.0752418461,True,False,,,,
44,0.0704787267,0.0769081772,0.0914680055,0.0772197902,0.0738492584,0.0841880913,True,False,,,,
45,0.0891669452,0.114429329,0.1474504358,0.1100562585,0.0996116019,0.1309398824,True,False,,,,
46,0.0516588924,0.0629685436,0.075822223,0.0773845773,0.0645217348,0.0693953833,True,False,,,,
47,0.0431867446,0.0738339223,0.0594466821,0.0449278958,0.0440573202,0.0666403022,True,False,,,,
48,0.1088419302,0.1159808295,0.1290390799,0.1102215362,0.1095317332,0.1225099547,True,False,,,,
49,0.0660185728,0.0947915843,0.093560266,0.0790591101,0.0725388415,0.0941759252,True,False,,,,
50,0.078178343,0.074294181,0.103352624,0.0775440816,0.0778612123,0.0888234025,True,False,,,,
51,0.1071004729,0.0936376551,0.1053121668,0.1233063596,0.1152034162,0.0994749109,False,True,,,,
52,0.0959501522,0.0894128087,0.1290723719,0.1183097077,0.10712993,0.1092425903,True,False,,,,
53,0.0808476629,0.1089115377,0.0951023287,0.0997222902,0.0902849765,0.1020069332,True,False,,,,
54,0.1188944203,0.1610609208,0.110227274,0.1448489796,0.1318717,0.1356440974,True,False,,,,
55,0.105789513,0.0964571779,0.0886532881,0.0881133464,0.0969514297,0.092555233,False,True,,,,
56,0.1127747315,0.0903910627,0.0968996933,0.113089079,0.1129319053,0.093645378,False,True,,,,
57,0.0836750429,0.0997491699,0.0968246001,0.0803344043,0.0820047236,0.098286885,True,False,,,,
58,0.1160933693,0.105714273,0.1471155649,0.1227171246,0.119405247,0.126414919,True,False,,,,
