,car,glass,plate,truck,Vehicles,Dinnerware,closer to vehicles,closer to dinnerware,,,,
0,0.0033517938,0.0036085118,0.0027152461,0.0036155072,0.0034836505,0.003161879,False,True,,,,
1,0.0038419759,0.0064351065,0.0064258631,0.0052092469,0.0045256114,0.0064304848,True,False,,,,
2,0.0039866236,0.0069823206,0.0048868487,0.005003117,0.0044948703,0.0059345846,True,False,,Ordering,,
3,0.0028868182,0.0032865392,0.0026294049,0.0031423042,0.0030145612,0.002957972,False,True,,First,Dinnerware,2960
4,0.0041416393,0.0048016746,0.0059479577,0.0053932834,0.0047674613,0.0053748162,True,False,,Second,Vehicle,3040
5,0.0040390407,0.0036625429,0.0042400493,0.0027681997,0.0034036202,0.0039512961,True,False,,,,
6,0.0056182336,0.003376913,0.0050947231,0.0037947076,0.0047064706,0.0042358181,False,True,,Number,,
7,0.0062069353,0.0060115476,0.0070061115,0.0054728288,0.0058398821,0.0065088295,True,False,,Break Closer to Vehicles,4712,
8,0.003865836,0.0047555682,0.0053408408,0.0027625383,0.0033141871,0.0050482045,True,False,,Break Closer to Dinnerware,1288,
9,0.0062933928,0.0079761454,0.0084568784,0.0051572381,0.0057253155,0.0082165119,True,False,,,,
10,0.0046081589,0.0049507263,0.0051478598,0.0044053282,0.0045067436,0.0050492931,True,False,,Proportion,,
11,0.0041528848,0.0050873752,0.0054198175,0.0055763086,0.0048645967,0.0052535964,True,False,,Break Closer to Vehicles,0.7853,
12,0.0053025424,0.0077448312,0.0062251673,0.0048194845,0.0050610135,0.0069849992,True,False,,Break Closer to Dinnerware,0.2147,
13,0.002402505,0.0032941058,0.0031556271,0.0037748656,0.0030886853,0.0032248665,True,False,,,,
14,0.0068214474,0.0079369837,0.0060512357,0.0060398854,0.0064306664,0.0069941097,True,False,,,,
15,0.0051675505,0.0039037191,0.0040266732,0.0037115721,0.0044395613,0.0039651962,False,True,,,,
16,0.0043536198,0.0042847245,0.0050373405,0.0041121479,0.0042328838,0.0046610325,True,False,,,,
17,0.0046119721,0.0068607164,0.0054004002,0.004302345,0.0044571585,0.0061305583,True,False,,,,
18,0.0073316437,0.0079502711,0.0073465169,0.0065774936,0.0069545687,0.007648394,True,False,,,,
19,0.0045487572,0.0057216008,0.0050937096,0.0044103057,0.0044795314,0.0054076552,True,False,,,,
20,0.0036477486,0.0061347919,0.0048186678,0.0030425346,0.0033451416,0.0054767299,True,False,,,,
21,0.004620391,0.0038250001,0.0042678809,0.0025929431,0.003606667,0.0040464405,True,False,,,,
22,0.0023412188,0.0036025084,0.0040760018,0.0040956989,0.0032184589,0.0038392551,True,False,,,,
23,0.0060572138,0.0062719033,0.0048367368,0.0060299056,0.0060435597,0.00555432,False,True,,,,
24,0.0034235887,0.0046797246,0.0040241929,0.0027602433,0.003091916,0.0043519588,True,False,,,,
25,0.0057325148,0.0050724214,0.0055319773,0.0043890226,0.0050607687,0.0053021994,True,False,,,,
26,0.0027980278,0.0033115719,0.0029009823,0.0029034514,0.0028507396,0.0031062771,True,False,,,,
27,0.0039623235,0.0056395046,0.0057555753,0.0046266413,0.0042944824,0.00569754,True,False,,,,
28,0.0051745304,0.0052865731,0.0058416474,0.0059207227,0.0055476265,0.0055641103,True,False,,,,
29,0.006329918,0.0036756727,0.0047880151,0.0051335042,0.0057317111,0.0042318439,False,True,,,,
30,0.0034097465,0.00426734,0.0041240075,0.0031821916,0.0032959691,0.0041956738,True,False,,,,
31,0.0074433333,0.0052816113,0.0069787606,0.0049880304,0.0062156819,0.0061301859,False,True,,,,
32,0.0036884667,0.0049559802,0.0044029589,0.0038689193,0.003778693,0.0046794695,True,False,,,,
33,0.0025477266,0.0044569515,0.0032127963,0.0033349076,0.0029413171,0.0038348739,True,False,,,,
34,0.0058160419,0.0064983288,0.0047464736,0.0042557292,0.0050358856,0.0056224012,True,False,,,,
35,0.0038427037,0.0036568573,0.0036478028,0.0033322157,0.0035874597,0.00365233,True,False,,,,
36,0.0042360278,0.0052411029,0.0084615033,0.0067070246,0.0054715262,0.0068513031,True,False,,,,
37,0.0035780526,0.0051784041,0.0064020057,0.0051997263,0.0043888894,0.0057902049,True,False,,,,
38,0.0021357474,0.0031708466,0.0027042945,0.0022282608,0.0021820041,0.0029375705,True,False,,,,
39,0.0036322493,0.0049205037,0.0039379228,0.0025839367,0.003108093,0.0044292133,True,False,,,,
40,0.00604943,0.0051374404,0.004551411,0.0047894013,0.0054194156,0.0048444257,False,True,,,,
41,0.0032277032,0.0048429075,0.0043666062,0.0036936242,0.0034606637,0.0046047569,True,False,,,,
42,0.0022886853,0.0024344069,0.0031608486,0.002189754,0.0022392197,0.0027976277,True,False,,,,
43,0.0035287538,0.0045524596,0.0042530286,0.0033579691,0.0034433614,0.0044027441,True,False,,,,
44,0.0051308521,0.0067672045,0.0062114324,0.0059493432,0.0055400976,0.0064893185,True,False,,,,
45,0.0045171654,0.0042861381,0.0043794417,0.0041627305,0.004339948,0.0043327899,False,True,,,,
46,0.0032953949,0.0041158239,0.0053877235,0.0048231426,0.0040592687,0.0047517737,True,False,,,,
47,0.0041580354,0.0041230361,0.005596123,0.0047663652,0.0044622003,0.0048595795,True,False,,,,
48,0.0041914912,0.0040894149,0.005289061,0.0038661094,0.0040288003,0.0046892379,True,False,,,,
49,0.0041894639,0.0050390179,0.007309397,0.0059737896,0.0050816267,0.0061742074,True,False,,,,
50,0.0042552875,0.0040990324,0.0044643627,0.0031432112,0.0036992493,0.0042816976,True,False,,,,
51,0.0037956617,0.0048369489,0.0043323878,0.0038600877,0.0038278747,0.0045846683,True,False,,,,
52,0.0058120566,0.0057124315,0.0081939597,0.0046134595,0.0052127581,0.0069531956,True,False,,,,
53,0.0032942264,0.0046211518,0.0046153337,0.0030531871,0.0031737067,0.0046182428,True,False,,,,
54,0.0032537332,0.0031144878,0.0029955472,0.0038009544,0.0035273438,0.0030550175,False,True,,,,
55,0.0040980004,0.0043003093,0.0037832641,0.0032841048,0.0036910526,0.0040417867,True,False,,,,
56,0.0036597614,0.004763874,0.0050168076,0.006177887,0.0049188242,0.0048903408,False,True,,,,
57,0.0053015567,0.0045003121,0.0055583615,0.0038925868,0.0045970718,0.0050293368,True,False,,,,
58,0.0047466328,0.0034086526,0.0050224663,0.0061749442,0.0054607885,0.0042155595,False,True,,,,
59,0.0043647263,0.0059987003,0.0062975821,0.0041137984,0.0042392624,0.0061481412,True,False,,,,
60,0.0057016482,0.0084044753,0.006797392,0.0052133993,0.0054575238,0.0076009336,True,False,,,,
61,0.0074556491,0.0121448948,0.0104510955,0.0077249921,0.0075903206,0.0112979951,True,False,,,,
62,0.003838121,0.0032321721,0.0050455857,0.0030021615,0.0034201413,0.0041388789,True,False,,,,
63,0.0048231669,0.006122662,0.0053952767,0.0042716083,0.0045473876,0.0057589693,True,False,,,,
64,0.0029041959,0.0031720526,0.0048896075,0.0029076,0.0029058979,0.0040308301,True,False,,,,
65,0.0057315401,0.0077373519,0.0090837514,0.0076073553,0.0066694477,0.0084105516,True,False,,,,
66,0.0035714508,0.0059454669,0.0043333072,0.0055094814,0.0045404661,0.0051393871,True,False,,,,
67,0.00540738,0.0064591793,0.0067230077,0.0052280076,0.0053176938,0.0065910935,True,False,,,,
68,0.0069591811,0.0067794442,0.006196655,0.0040141572,0.0054866692,0.0064880496,True,False,,,,
69,0.0033985907,0.0039105332,0.0031896865,0.0030967966,0.0032476936,0.0035501098,True,False,,,,
70,0.0037916699,0.0048132063,0.0038910115,0.0030129205,0.0034022952,0.0043521089,True,False,,,,
71,0.0039678981,0.0051330436,0.0053346357,0.0053706355,0.0046692668,0.0052338396,True,False,,,,
72,0.003864324,0.003986708,0.004874151,0.0054496575,0.0046569908,0.0044304295,False,True,,,,
73,0.0045580138,0.0044543296,0.0049342088,0.004616816,0.0045874149,0.0046942692,True,False,,,,
74,0.0023614145,0.0033242641,0.003381754,0.002433759,0.0023975867,0.0033530091,True,False,,,,
75,0.0034934643,0.0039438865,0.0034390027,0.0032120335,0.0033527489,0.0036914446,True,False,,,,
76,0.0076832174,0.0097439464,0.0084488294,0.0082400422,0.0079616298,0.0090963879,True,False,,,,
77,0.0036525111,0.0031949467,0.0037690917,0.0023220418,0.0029872764,0.0034820192,True,False,,,,
78,0.0041377401,0.0043152321,0.0067604651,0.0048588887,0.0044983144,0.0055378486,True,False,,,,
79,0.0052283748,0.0036751565,0.0047598177,0.0035288642,0.0043786195,0.0042174871,False,True,,,,
80,0.0053882956,0.0052165878,0.0066699315,0.005911654,0.0056499748,0.0059432597,True,False,,,,
81,0.0055395461,0.0059063073,0.0060846868,0.0051732391,0.0053563926,0.0059954971,True,False,,,,
82,0.0032348583,0.003383691,0.0031012083,0.00218966,0.0027122592,0.0032424497,True,False,,,,
83,0.0051313052,0.0037396477,0.0037122017,0.0021956555,0.0036634804,0.0037259247,True,False,,,,
84,0.0045219876,0.0061907954,0.0049923658,0.0052752062,0.0048985969,0.0055915806,True,False,,,,
85,0.0052021404,0.00754039,0.0067356685,0.0057603405,0.0054812405,0.0071380292,True,False,,,,
86,0.0028018651,0.0036619055,0.0037579799,0.0027522792,0.0027770722,0.0037099427,True,False,,,,
87,0.0069872747,0.0070291697,0.0073775818,0.0053203559,0.0061538153,0.0072033758,True,False,,,,
88,0.0046395208,0.0070446769,0.0039590715,0.0060935855,0.0053665532,0.0055018742,True,False,,,,
89,0.004093416,0.0042257259,0.0057040979,0.0032136376,0.0036535268,0.0049649119,True,False,,,,
90,0.0048116855,0.0081437638,0.0094464612,0.0070492676,0.0059304766,0.0087951125,True,False,,,,
91,0.006175493,0.0061686866,0.0056709463,0.006465455,0.006320474,0.0059198164,False,True,,,,
92,0.0061759539,0.0082207134,0.0079945898,0.0075428944,0.0068594242,0.0081076516,True,False,,,,
93,0.0042235648,0.0028418828,0.0040314566,0.0039297443,0.0040766545,0.0034366697,False,True,,,,
94,0.0045123921,0.0046598909,0.0039587902,0.0044349284,0.0044736603,0.0043093405,False,True,,,,
95,0.0074205826,0.0067418703,0.0057337968,0.0042600233,0.0058403029,0.0062378335,True,False,,,,
96,0.0040505811,0.0037478944,0.0039107055,0.0036287113,0.0038396462,0.0038292999,False,True,,,,
97,0.0050774846,0.006134729,0.0079924734,0.0066067279,0.0058421063,0.0070636012,True,False,,,,
98,0.0047294643,0.004997022,0.0049143344,0.0030437025,0.0038865834,0.0049556782,True,False,,,,
99,0.0068820436,0.0072929138,0.0057762268,0.0061094375,0.0064957405,0.0065345703,True,False,,,,
100,0.0044551641,0.0052857608,0.0053498975,0.0044585408,0.0044568525,0.0053178291,True,False,,,,
101,0.0030140595,0.0034403438,0.0041050558,0.0037018061,0.0033579328,0.0037726998,True,False,,,,
102,0.0036617877,0.0053469213,0.0052521754,0.0037160557,0.0036889217,0.0052995483,True,False,,,,
103,0.0037651526,0.0036718679,0.0031910141,0.0033196067,0.0035423796,0.003431441,False,True,,,,
104,0.0060097077,0.0076410391,0.0065374687,0.0041151838,0.0050624458,0.0070892539,True,False,,,,
105,0.0039120908,0.0068695397,0.0060317826,0.0030170281,0.0034645594,0.0064506612,True,False,,,,
106,0.0031109422,0.0040596166,0.0045362746,0.0030614404,0.0030861913,0.0042979456,True,False,,,,
107,0.0049671651,0.0063040268,0.0047140136,0.0038978087,0.0044324869,0.0055090202,True,False,,,,
108,0.0035016725,0.0033190532,0.0035087148,0.0038344699,0.0036680712,0.003413884,False,True,,,,
109,0.002621652,0.0036772589,0.0033651881,0.0038842495,0.0032529507,0.0035212235,True,False,,,,
110,0.004185808,0.0061715587,0.0041941713,0.0053699787,0.0047778934,0.005182865,True,False,,,,
111,0.0047284524,0.0063483385,0.0080607943,0.0056843568,0.0052064046,0.0072045664,True,False,,,,
112,0.005468176,0.0062493907,0.0056744957,0.0042837906,0.0048759833,0.0059619432,True,False,,,,
113,0.0040859656,0.004936957,0.0035557253,0.0042634273,0.0041746965,0.0042463411,True,False,,,,
114,0.0060971991,0.0062546832,0.0076974488,0.0058968553,0.0059970272,0.006976066,True,False,,,,
115,0.0043939643,0.00641366,0.004704919,0.0034988841,0.0039464242,0.0055592895,True,False,,,,
116,0.0042908728,0.0047899443,0.0054717425,0.0049366445,0.0046137587,0.0051308434,True,False,,,,
117,0.0064590646,0.006814924,0.0064485535,0.0063230388,0.0063910517,0.0066317388,True,False,,,,
118,0.0040845841,0.0029492449,0.0066493887,0.0034224533,0.0037535187,0.0047993168,True,False,,,,
119,0.0027921692,0.0030742411,0.0030842749,0.0031552031,0.0029736861,0.003079258,True,False,,,,
120,0.0039973672,0.0052758797,0.0044258989,0.0036468425,0.0038221049,0.0048508893,True,False,,,,
121,0.0029733728,0.003119973,0.0032439275,0.0038985795,0.0034359762,0.0031819502,False,True,,,,
122,0.0055661556,0.0042094991,0.0061048129,0.0039306584,0.004748407,0.005157156,True,False,,,,
123,0.0065273772,0.0078625484,0.007109711,0.0054220676,0.0059747224,0.0074861297,True,False,,,,
124,0.0032951529,0.0028998717,0.0027530923,0.0032560428,0.0032755978,0.002826482,False,True,,,,
125,0.0055867501,0.0054218828,0.0050146681,0.0042149134,0.0049008318,0.0052182754,True,False,,,,
126,0.0036865556,0.004365376,0.0052794034,0.0036960931,0.0036913244,0.0048223897,True,False,,,,
127,0.0103646801,0.0089181828,0.0068630699,0.0064055427,0.0083851114,0.0078906263,False,True,,,,
128,0.002823678,0.0038613636,0.0044307152,0.0038510894,0.0033373837,0.0041460394,True,False,,,,
129,0.0040515517,0.0042788701,0.0043789707,0.004448079,0.0042498154,0.0043289204,True,False,,,,
130,0.0035351911,0.005335736,0.0041879973,0.0032851915,0.0034101913,0.0047618666,True,False,,,,
131,0.0039508783,0.0034253861,0.0071167148,0.0038903096,0.003920594,0.0052710504,True,False,,,,
132,0.0044733723,0.0055691567,0.0076238873,0.0034492286,0.0039613005,0.006596522,True,False,,,,
133,0.002996854,0.0035571014,0.0031404875,0.0039464562,0.0034716551,0.0033487944,False,True,,,,
134,0.0054357102,0.0047351515,0.0058637438,0.0046019068,0.0050188085,0.0052994477,True,False,,,,
135,0.00399883,0.0031421473,0.0037004172,0.0026244148,0.0033116224,0.0034212823,True,False,,,,
136,0.0049241318,0.0035615681,0.0037898046,0.0048821127,0.0049031223,0.0036756864,False,True,,,,
137,0.0058182064,0.006262155,0.0056638099,0.0046765205,0.0052473634,0.0059629824,True,False,,,,
138,0.0076594108,0.0135723819,0.0105232211,0.0081392189,0.0078993149,0.0120478015,True,False,,,,
139,0.0029224284,0.0041404139,0.0037629599,0.003446447,0.0031844377,0.0039516869,True,False,,,,
140,0.0114428286,0.0139796781,0.0147200349,0.0111170882,0.0112799584,0.0143498565,True,False,,,,
141,0.0032224383,0.0068648122,0.0061908206,0.0057598636,0.0044911509,0.0065278164,True,False,,,,
142,0.0055223921,0.0063215313,0.006285117,0.005581677,0.0055520346,0.0063033241,True,False,,,,
143,0.0044234422,0.0051350008,0.0051352056,0.0054042423,0.0049138423,0.0051351032,True,False,,,,
144,0.0042184485,0.005603554,0.0063637983,0.0058870354,0.0050527419,0.0059836761,True,False,,,,
145,0.0051192711,0.0050175087,0.0049200799,0.004680796,0.0049000335,0.0049687943,True,False,,,,
146,0.003198408,0.0048416041,0.0046349826,0.0044781629,0.0038382854,0.0047382934,True,False,,,,
147,0.0057233832,0.0070187849,0.0053535651,0.0043152587,0.0050193209,0.006186175,True,False,,,,
148,0.0037940772,0.004121985,0.0033797452,0.0032289254,0.0035115013,0.0037508651,True,False,,,,
149,0.00429187,0.0026589669,0.0048126732,0.003921775,0.0041068225,0.0037358201,False,True,,,,
