,homeeconomics,miscellaneous,languagearts,business,science,health,socialstudies,industrialarts
founder,NA,NA,Founding Father,Founding Father,Founding Father,NA,Founding Father,NA
bull,NA,NA,Animal,NA,Animal,NA,Battle of Bull Run,NA
hitch,NA,NA,,,,,,
skate,NA,NA,Skating (Sport),NA,Skating (Sport),Skating (Sport),Skating (Sport),NA
gang,NA,NA,Group,Group,Group,NA,Group,NA
mill,NA,NA,Manufacturing Mill,Manufacturing Mill,Manufacturing Mill,NA,Manufacturing Mill,Mill File
row,NA,NA,"Position(row/column), Continuous Stretch",Tables (row/column),"Position(row/column), Continuous Stretch",Skid Row Bum(alcoholic),"Position(row/column), Continuous Stretch",Continuous Stretch
compact,NA,NA,"Closely packed, make-up","closely packed, formal agreement",Compact Bone (closely packed),closely packed,formal agreement,NA
vet,NA,NA,Veterinarian ,NA,NA,NA,Veterinarian,NA
lining,"organ gland lining, clothing material",NA,"continuous order, clothing material",continuous order,organ gland lining,organ gland lining,continuous order (surrounding),NA
blaze,NA,NA,"fierce display, streak on plants/animials",outburst,fire,NA,fierce display,NA
stable,stability,stability,"stability, horse place",stability,stability,NA,"stability, horse place",stability
jerk,NA,NA,"sudden movement, selfish person",NA,sudden movement,NA,sudden movement,NA
kitty,NA,Name,"Name, place",NA,NA,NA,"name, place",NA
smack,NA,NA,"exactly (smack in the center), punch",NA,NA,NA,directly (smack into),NA
bowler,NA,NA,"bowling game, bowler hat",NA,bowling game,NA,NA,NA
fan,NA,electrical appliance,"admirer, elec app., opened (fan out)",NA,"elec app., opened (fan out)",NA,"elec app., admirer",NA
affect,impact,impact,impact,impact,impact,impact,impact,NA
strand,thread-like,Name,Thread-like/tiny ,NA,Thread-like/tiny ,NA,Thread-like,NA
tear,rip,NA,"rip, cry",rip,"rip, cry","rip, cry","rip, cry",NA
shock,NA,NA,,,,,,
list,,,,,,,,
gum,chewing gum,NA,chewing gum,chewing gum,"chewing gum, teeth gum",teeth gum,chewing gum,NA
race,NA,color and creed,racing sport,NA,"color and creed, sport","color and creed, sport","color and creed, sport",NA
rack,,,,,,,,
cap,"hat, tooth development",ice caps,hat,NA,"ice cap, tooth development",NA,"ice cap, hat",NA
hack,NA,NA,,,,,,
tee,,,,,,,,
pulse,,,,,,,,
fold,,,,,,,,
rate,,,,,,,,
cost,,,,,,,,
hamper,,,,,,,,
bully,,,,,,,,
hide,,,,,,,,
clock,,,,,,,,
stoop,,,,,,,,
haze,,,,,,,,
capital,,,,,,,,
net,,,,,,,,
ground,,,,,,,,
punch,,,,,,,,
mule,,,,,,,,
fluke,,,,,,,,
arch,,,,,,,,
chink,,,,,,,,
box,,,,,,,,
buck,,,,,,,,
bop,,,,,,,,
titanic,,,,,,,,
prior,,,,,,,,
painter,,,,,,,,
bob,,,,,,,,
gull,,,,,,,,
limp,,,,,,,,
cosmetic,,,,,,,,
wit,,,,,,,,
bust,,,,,,,,
duck,,,,,,,,
limb,,,,,,,,
staple,,,,,,,,
lime,,,,,,,,
plot,,,,,,,,
ash,,,,,,,,
spoke,,,,,,,,
zip,,,,,,,,
perk,,,,,,,,
gloss,,,,,,,,
frog,,,,,,,,
crab,,,,,,,,
spike,,,,,,,,
raft,,,,,,,,
calf,,,,,,,,
flat,,,,,,,,
flaw,,,,,,,,
mush,,,,,,,,
impress,,,,,,,,
refrain,,,,,,,,
flag,,,,,,,,
stick,,,,,,,,
midst,,,,,,,,
fly,,,,,,,,
rook,,,,,,,,
pout,,,,,,,,
spill,,,,,,,,
cat,,,,,,,,
lumber,,,,,,,,
drill,,,,,,,,
cab,,,,,,,,
root,,,,,,,,
shook,,,,,,,,
shark,,,,,,,,
tap,,,,,,,,
bent,,,,,,,,
pawn,,,,,,,,
lock,,,,,,,,
chip,,,,,,,,
tag,,,,,,,,
slip,,,,,,,,
beaver,,,,,,,,
spruce,,,,,,,,
stole,,,,,,,,
rape,,,,,,,,
pink,,,,,,,,
bunk,,,,,,,,
rye,,,,,,,,
funky,,,,,,,,
pine,,,,,,,,
hop,,,,,,,,
fudge,,,,,,,,
sin,,,,,,,,
banker,,,,,,,,
poker,,,,,,,,
mat,,,,,,,,
cocktail,,,,,,,,
plane,,,,,,,,
lay,,,,,,,,
bluff,,,,,,,,
tier,,,,,,,,
hawk,,,,,,,,
dove,,,,,,,,
bleak,,,,,,,,
refuse,,,,,,,,
council,,,,,,,,
hind,,,,,,,,
counter,,,,,,,,
liner,,,,,,,,
shore,,,,,,,,
truck,,,,,,,,
egg,,,,,,,,
refund,,,,,,,,
boxing,,,,,,,,
lighter,,,,,,,,
meter,,,,,,,,
sperm,,,,,,,,
costume,,,,,,,,
pitch,,,,,,,,
jig,,,,,,,,
fit,,,,,,,,
temporal,,,,,,,,
brook,,,,,,,,
policy,,,,,,,,
mail,,,,,,,,
limbo,,,,,,,,
affected,,,,,,,,
halt,,,,,,,,
dab,,,,,,,,
dam,,,,,,,,
rake,,,,,,,,
band,,,,,,,,
bang,,,,,,,,
rank,,,,,,,,
compound,,,,,,,,
bank,,,,,,,,
barrow,,,,,,,,
rocky,,,,,,,,
opera,,,,,,,,
clutch,,,,,,,,
chuck,,,,,,,,
mode,,,,,,,,
rock,,,,,,,,
meal,,,,,,,,
waffle,,,,,,,,
beetle,,,,,,,,
flock,,,,,,,,
slew,,,,,,,,
troll,,,,,,,,
gob,,,,,,,,
mate,,,,,,,,
stud,,,,,,,,
hooker,,,,,,,,
bass,,,,,,,,
hull,,,,,,,,
pug,,,,,,,,
toll,,,,,,,,
base,,,,,,,,
span,,,,,,,,
cough,,,,,,,,
card,,,,,,,,
fret,,,,,,,,
yard,,,,,,,,
launch,,,,,,,,
mortar,,,,,,,,
cosmic,,,,,,,,
keen,,,,,,,,
retainer,,,,,,,,
strapping,,,,,,,,
scarf,,,,,,,,
sack,,,,,,,,
elder,,,,,,,,
ring,,,,,,,,
drove,,,,,,,,
whale,,,,,,,,
size,,,,,,,,
corporal,,,,,,,,
sheer,,,,,,,,
sheet,,,,,,,,
jet,,,,,,,,
lap,,,,,,,,
tow,,,,,,,,
tot,,,,,,,,
swarm,,,,,,,,
shiver,,,,,,,,
boil,,,,,,,,
hue,,,,,,,,
cope,,,,,,,,
chute,,,,,,,,
butt,,,,,,,,
peck,,,,,,,,
peaked,,,,,,,,
chump,,,,,,,,
slack,,,,,,,,
boring,,,,,,,,
shower,,,,,,,,
bride,,,,,,,,
stall,,,,,,,,
stalk,,,,,,,,
gobble,,,,,,,,
taxis,,,,,,,,
steep,,,,,,,,
steer,,,,,,,,
rag,,,,,,,,
clip,,,,,,,,
ringer,,,,,,,,
pro,,,,,,,,
alley,,,,,,,,
corrupt,,,,,,,,
slam,,,,,,,,
rent,,,,,,,,
rap,,,,,,,,
sap,,,,,,,,
mint,,,,,,,,
spade,,,,,,,,
ray,,,,,,,,
angle,,,,,,,,
mid,,,,,,,,
couch,,,,,,,,
lit,,,,,,,,
chess,,,,,,,,
hatch,,,,,,,,
buff,,,,,,,,
gill,,,,,,,,
converse,,,,,,,,
trace,,,,,,,,
buffer,,,,,,,,
buffet,,,,,,,,
crash,,,,,,,,
mace,,,,,,,,
tract,,,,,,,,
multiply,,,,,,,,
coil,,,,,,,,
grave,,,,,,,,
lawn,,,,,,,,
camp,,,,,,,,
dent,,,,,,,,
pipe,,,,,,,,
cortex,,,,,,,,
lying,,,,,,,,
rating,,,,,,,,
stove,,,,,,,,
rifle,,,,,,,,
sage,,,,,,,,
grate,,,,,,,,
felon,,,,,,,,
utter,,,,,,,,
bail,,,,,,,,
staff,,,,,,,,
toast,,,,,,,,
ear,,,,,,,,
tire,,,,,,,,
jar,,,,,,,,
rash,,,,,,,,
woof,,,,,,,,
bush,,,,,,,,
jam,,,,,,,,
jag,,,,,,,,
piano,,,,,,,,
plump,,,,,,,,
hip,,,,,,,,
cube,,,,,,,,
lighten,,,,,,,,
scram,,,,,,,,
counsel,,,,,,,,
bear,,,,,,,,
strut,,,,,,,,
batter,,,,,,,,
gee,,,,,,,,
prune,,,,,,,,
bat,,,,,,,,
bar,,,,,,,,
shy,,,,,,,,
bay,,,,,,,,
gram,,,,,,,,
rung,,,,,,,,
ban,,,,,,,,
cramp,,,,,,,,
fair,,,,,,,,
jade,,,,,,,,
nun,,,,,,,,
sec,,,,,,,,
seal,,,,,,,,
tender,,,,,,,,
bark,,,,,,,,
arm,,,,,,,,
snuff,,,,,,,,
scrap,,,,,,,,
tend,,,,,,,,
gage,,,,,,,,
pump,,,,,,,,
lug,,,,,,,,
mum,,,,,,,,
cuff,,,,,,,,
corruption,,,,,,,,
jumper,,,,,,,,
nip,,,,,,,,
sole,,,,,,,,
spray,,,,,,,,
key,,,,,,,,
jog,,,,,,,,
coma,,,,,,,,
quack,,,,,,,,
league,,,,,,,,
cot,,,,,,,,
cow,,,,,,,,
incense,,,,,,,,
lash,,,,,,,,
vault,,,,,,,,
swallow,,,,,,,,
fry,,,,,,,,
riddle,,,,,,,,
loaf,,,,,,,,
undone,,,,,,,,
spear,,,,,,,,
bridge,,,,,,,,
twit,,,,,,,,
pot,,,,,,,,
