,random_100,socialstudies_industrialarts_100,industrialarts_socialstudies_100,random_200,socialstudies_industrialarts_200,industrialarts_socialstudies_200,random_300,socialstudies_industrialarts_300,industrialarts_socialstudies_300
0,0.492537313,0.515151515,0.492537313,0.149425287,0.162790698,0.156069364,0.136363636,0.123595506,0.123595506
1,0.481481481,0.449275362,0.538461538,0.169590643,0.149425287,0.169590643,0.104972376,0.098901099,0.081081081
2,0.503759398,0.538461538,0.612903226,0.136363636,0.142857143,0.169590643,0.081081081,0.104972376,0.104972376
3,0.5625,0.587301587,0.503759398,0.19047619,0.162790698,0.156069364,0.142857143,0.075268817,0.162790698
4,0.481481481,0.503759398,0.515151515,0.129943503,0.149425287,0.123595506,0.098901099,0.092896175,0.104972376
5,0.449275362,0.5625,0.550387597,0.169590643,0.176470588,0.169590643,0.086956522,0.123595506,0.117318436
6,0.470588235,0.503759398,0.526717557,0.156069364,0.156069364,0.204819277,0.098901099,0.136363636,0.129943503
7,0.459854015,0.57480315,0.515151515,0.149425287,0.176470588,0.169590643,0.104972376,0.111111111,0.111111111
8,0.503759398,0.550387597,0.550387597,0.183431953,0.204819277,0.19760479,0.123595506,0.129943503,0.086956522
9,0.418439716,0.481481481,0.587301587,0.136363636,0.156069364,0.19047619,0.104972376,0.117318436,0.117318436
10,0.503759398,0.550387597,0.538461538,0.117318436,0.219512195,0.162790698,0.069518717,0.123595506,0.117318436
11,0.481481481,0.515151515,0.503759398,0.142857143,0.19760479,0.212121212,0.104972376,0.142857143,0.136363636
12,0.418439716,0.526717557,0.5625,0.086956522,0.117318436,0.19760479,0.075268817,0.117318436,0.123595506
13,0.470588235,0.503759398,0.5625,0.136363636,0.136363636,0.183431953,0.104972376,0.098901099,0.104972376
14,0.515151515,0.503759398,0.515151515,0.149425287,0.19047619,0.176470588,0.098901099,0.162790698,0.123595506
15,0.470588235,0.538461538,0.550387597,0.149425287,0.204819277,0.162790698,0.111111111,0.075268817,0.111111111
16,0.538461538,0.57480315,0.5625,0.136363636,0.204819277,0.19047619,0.086956522,0.098901099,0.092896175
17,0.492537313,0.492537313,0.503759398,0.169590643,0.183431953,0.162790698,0.136363636,0.098901099,0.136363636
18,0.492537313,0.538461538,0.515151515,0.162790698,0.162790698,0.19047619,0.086956522,0.104972376,0.136363636
19,0.470588235,0.515151515,0.6,0.123595506,0.136363636,0.183431953,0.123595506,0.086956522,0.111111111
20,0.515151515,0.5625,0.503759398,0.156069364,0.176470588,0.19047619,0.111111111,0.149425287,0.129943503
21,0.515151515,0.538461538,0.481481481,0.136363636,0.19760479,0.169590643,0.092896175,0.111111111,0.117318436
22,0.428571429,0.503759398,0.481481481,0.117318436,0.162790698,0.156069364,0.075268817,0.092896175,0.117318436
23,0.408450704,0.503759398,0.526717557,0.129943503,0.136363636,0.219512195,0.098901099,0.086956522,0.156069364
24,0.503759398,0.526717557,0.481481481,0.162790698,0.123595506,0.162790698,0.081081081,0.176470588,0.075268817
25,0.418439716,0.538461538,0.515151515,0.156069364,0.136363636,0.19760479,0.075268817,0.092896175,0.092896175
26,0.481481481,0.526717557,0.538461538,0.169590643,0.19047619,0.142857143,0.098901099,0.123595506,0.098901099
27,0.470588235,0.550387597,0.492537313,0.129943503,0.226993865,0.162790698,0.086956522,0.123595506,0.117318436
28,0.492537313,0.5625,0.503759398,0.169590643,0.183431953,0.162790698,0.117318436,0.104972376,0.092896175
29,0.470588235,0.481481481,0.526717557,0.176470588,0.136363636,0.176470588,0.129943503,0.086956522,0.142857143
30,0.481481481,0.550387597,0.526717557,0.176470588,0.204819277,0.19760479,0.081081081,0.098901099,0.092896175
31,0.57480315,0.6,0.459854015,0.169590643,0.19047619,0.142857143,0.081081081,0.142857143,0.098901099
32,0.438848921,0.538461538,0.550387597,0.111111111,0.234567901,0.142857143,0.081081081,0.111111111,0.123595506
33,0.449275362,0.526717557,0.5625,0.183431953,0.156069364,0.183431953,0.111111111,0.092896175,0.092896175
34,0.459854015,0.503759398,0.6,0.156069364,0.176470588,0.19047619,0.111111111,0.086956522,0.104972376
35,0.418439716,0.550387597,0.515151515,0.169590643,0.212121212,0.162790698,0.098901099,0.086956522,0.104972376
36,0.428571429,0.492537313,0.515151515,0.117318436,0.149425287,0.19047619,0.058201058,0.086956522,0.117318436
37,0.470588235,0.515151515,0.503759398,0.169590643,0.19760479,0.183431953,0.092896175,0.104972376,0.129943503
