,random_100,health_languagearts_100,languagearts_health_100,random_200,health_languagearts_200,languagearts_health_200,random_300,health_languagearts_300,languagearts_health_300
0,0.333333333,0.219512195,0.219512195,0.098901099,0.069518717,0.075268817,0.081081081,0.069518717,0.041666667
1,0.315789474,0.298701299,0.219512195,0.086956522,0.075268817,0.052631579,0.069518717,0.063829787,0.030927835
2,0.398601399,0.315789474,0.265822785,0.156069364,0.098901099,0.069518717,0.086956522,0.063829787,0.052631579
3,0.333333333,0.242236025,0.212121212,0.104972376,0.069518717,0.069518717,0.058201058,0.069518717,0.041666667
4,0.298701299,0.324503311,0.19047619,0.075268817,0.086956522,0.081081081,0.058201058,0.075268817,0.058201058
5,0.398601399,0.19760479,0.282051282,0.129943503,0.081081081,0.069518717,0.058201058,0.058201058,0.075268817
6,0.398601399,0.290322581,0.242236025,0.081081081,0.069518717,0.086956522,0.058201058,0.075268817,0.052631579
7,0.379310345,0.234567901,0.242236025,0.156069364,0.075268817,0.052631579,0.081081081,0.041666667,0.052631579
8,0.369863014,0.234567901,0.234567901,0.092896175,0.063829787,0.063829787,0.075268817,0.052631579,0.063829787
9,0.333333333,0.282051282,0.27388535,0.104972376,0.092896175,0.086956522,0.098901099,0.069518717,0.041666667
10,0.418439716,0.27388535,0.324503311,0.117318436,0.063829787,0.111111111,0.092896175,0.041666667,0.081081081
11,0.398601399,0.25,0.25,0.098901099,0.069518717,0.063829787,0.058201058,0.063829787,0.041666667
12,0.379310345,0.234567901,0.226993865,0.075268817,0.086956522,0.086956522,0.047120419,0.086956522,0.052631579
13,0.333333333,0.265822785,0.265822785,0.104972376,0.111111111,0.104972376,0.063829787,0.075268817,0.03626943
14,0.324503311,0.282051282,0.234567901,0.104972376,0.081081081,0.063829787,0.058201058,0.052631579,0.058201058
15,0.369863014,0.333333333,0.25,0.104972376,0.058201058,0.052631579,0.104972376,0.081081081,0.058201058
16,0.290322581,0.176470588,0.212121212,0.092896175,0.104972376,0.058201058,0.063829787,0.075268817,0.03626943
17,0.307189542,0.226993865,0.298701299,0.092896175,0.098901099,0.086956522,0.075268817,0.03626943,0.047120419
18,0.379310345,0.219512195,0.169590643,0.117318436,0.058201058,0.063829787,0.052631579,0.047120419,0.041666667
19,0.342281879,0.27388535,0.265822785,0.098901099,0.104972376,0.092896175,0.052631579,0.047120419,0.041666667
20,0.351351351,0.265822785,0.219512195,0.092896175,0.069518717,0.069518717,0.086956522,0.058201058,0.03626943
21,0.379310345,0.25,0.212121212,0.111111111,0.069518717,0.092896175,0.104972376,0.058201058,0.03626943
22,0.360544218,0.27388535,0.219512195,0.092896175,0.047120419,0.081081081,0.052631579,0.041666667,0.058201058
23,0.369863014,0.25,0.27388535,0.104972376,0.047120419,0.069518717,0.081081081,0.052631579,0.025641026
24,0.298701299,0.242236025,0.290322581,0.081081081,0.047120419,0.069518717,0.081081081,0.063829787,0.058201058
25,0.307189542,0.265822785,0.234567901,0.086956522,0.098901099,0.069518717,0.075268817,0.069518717,0.041666667
26,0.388888889,0.242236025,0.265822785,0.098901099,0.047120419,0.086956522,0.086956522,0.086956522,0.052631579
27,0.369863014,0.226993865,0.27388535,0.149425287,0.063829787,0.058201058,0.086956522,0.03626943,0.069518717
28,0.315789474,0.169590643,0.234567901,0.052631579,0.063829787,0.092896175,0.047120419,0.052631579,0.052631579
29,0.360544218,0.315789474,0.265822785,0.142857143,0.123595506,0.058201058,0.058201058,0.086956522,0.030927835
30,0.290322581,0.219512195,0.27388535,0.111111111,0.075268817,0.086956522,0.047120419,0.047120419,0.030927835
31,0.408450704,0.204819277,0.257861635,0.104972376,0.063829787,0.081081081,0.069518717,0.052631579,0.052631579
32,0.428571429,0.342281879,0.257861635,0.123595506,0.081081081,0.092896175,0.069518717,0.063829787,0.069518717
33,0.379310345,0.351351351,0.176470588,0.117318436,0.104972376,0.052631579,0.075268817,0.025641026,0.047120419
34,0.342281879,0.25,0.25,0.063829787,0.104972376,0.058201058,0.063829787,0.075268817,0.069518717
35,0.379310345,0.265822785,0.219512195,0.156069364,0.086956522,0.092896175,0.058201058,0.047120419,0.030927835
36,0.369863014,0.27388535,0.219512195,0.081081081,0.086956522,0.075268817,0.069518717,0.069518717,0.052631579
37,0.418439716,0.234567901,0.226993865,0.086956522,0.069518717,0.069518717,0.075268817,0.063829787,0.03626943
38,0.333333333,0.242236025,0.257861635,0.098901099,0.092896175,0.098901099,0.058201058,0.075268817,0.052631579
39,0.369863014,0.25,0.234567901,0.081081081,0.081081081,0.058201058,0.081081081,0.052631579,0.020408163
40,0.351351351,0.257861635,0.333333333,0.136363636,0.069518717,0.111111111,0.092896175,0.075268817,0.063829787
41,0.388888889,0.298701299,0.342281879,0.104972376,0.104972376,0.081081081,0.052631579,0.069518717,0.063829787
42,0.398601399,0.25,0.282051282,0.149425287,0.081081081,0.104972376,0.047120419,0.052631579,0.058201058
43,0.388888889,0.226993865,0.234567901,0.092896175,0.086956522,0.069518717,0.069518717,0.03626943,0.058201058
44,0.369863014,0.219512195,0.242236025,0.092896175,0.104972376,0.081081081,0.086956522,0.047120419,0.03626943
45,0.369863014,0.25,0.242236025,0.136363636,0.104972376,0.092896175,0.063829787,0.030927835,0.015228426
46,0.351351351,0.25,0.234567901,0.092896175,0.081081081,0.069518717,0.063829787,0.047120419,0.030927835
47,0.379310345,0.282051282,0.25,0.129943503,0.063829787,0.03626943,0.104972376,0.058201058,0.041666667
48,0.351351351,0.242236025,0.219512195,0.104972376,0.069518717,0.063829787,0.081081081,0.03626943,0.047120419
49,0.408450704,0.212121212,0.27388535,0.123595506,0.081081081,0.047120419,0.063829787,0.052631579,0.047120419
