,random_100,socialstudies_industrialarts_100,industrialarts_socialstudies_100,random_200,socialstudies_industrialarts_200,industrialarts_socialstudies_200,random_300,socialstudies_industrialarts_300,industrialarts_socialstudies_300
0,0.4705882353,0.4925373134,0.4925373134,0.5444015444,0.5444015444,0.4869888476,0.5189873418,0.5345268542,0.5075376884
1,0.4925373134,0.4925373134,0.4925373134,0.5209125475,0.5503875969,0.5209125475,0.5,0.5267175573,0.5345268542
2,0.4705882353,0.5267175573,0.4388489209,0.5444015444,0.4925373134,0.4925373134,0.5306122449,0.5113350126,0.5151515152
3,0.4598540146,0.5625,0.5384615385,0.4981273408,0.568627451,0.5564202335,0.5189873418,0.5267175573,0.5544041451
4,0.4705882353,0.5384615385,0.5384615385,0.5384615385,0.5267175573,0.5564202335,0.5037593985,0.5189873418,0.5306122449
5,0.5384615385,0.5267175573,0.5267175573,0.5209125475,0.4760147601,0.5503875969,0.5503875969,0.4888337469,0.5544041451
6,0.5267175573,0.5267175573,0.5748031496,0.4925373134,0.5094339623,0.5151515152,0.5037593985,0.5228426396,0.5345268542
7,0.4492753623,0.5037593985,0.5384615385,0.4869888476,0.568627451,0.5503875969,0.4634146341,0.5625,0.5267175573
8,0.5384615385,0.5625,0.5873015873,0.5444015444,0.5094339623,0.568627451,0.5306122449,0.5,0.5706806283
9,0.5037593985,0.5625,0.4925373134,0.5209125475,0.5503875969,0.5209125475,0.5113350126,0.5503875969,0.5267175573
10,0.4705882353,0.5384615385,0.5267175573,0.5503875969,0.5325670498,0.4814814815,0.5345268542,0.5151515152,0.4962593516
11,0.4184397163,0.5037593985,0.5037593985,0.4336917563,0.5325670498,0.5151515152,0.4598540146,0.5151515152,0.5228426396
12,0.4285714286,0.5151515152,0.5037593985,0.5094339623,0.5873015873,0.4652014652,0.5267175573,0.5625,0.4742014742
13,0.4492753623,0.5384615385,0.5384615385,0.5037593985,0.5325670498,0.5325670498,0.4962593516,0.5151515152,0.5075376884
14,0.3793103448,0.4814814815,0.4705882353,0.4492753623,0.5151515152,0.5151515152,0.4388489209,0.5424164524,0.5424164524
15,0.4814814815,0.5267175573,0.4814814815,0.4869888476,0.568627451,0.5384615385,0.4962593516,0.5503875969,0.5228426396
16,0.4598540146,0.4388489209,0.5151515152,0.4598540146,0.5748031496,0.568627451,0.4925373134,0.5345268542,0.5345268542
17,0.4388489209,0.4814814815,0.5151515152,0.5094339623,0.4814814815,0.5267175573,0.5037593985,0.4962593516,0.5345268542
18,0.5151515152,0.5037593985,0.4814814815,0.4760147601,0.5325670498,0.5267175573,0.4705882353,0.5037593985,0.5228426396
19,0.5037593985,0.4492753623,0.5151515152,0.5151515152,0.5209125475,0.5384615385,0.5113350126,0.5345268542,0.5267175573
20,0.4705882353,0.5037593985,0.4705882353,0.5209125475,0.5209125475,0.5325670498,0.5228426396,0.5037593985,0.4962593516
