,car,glass,plate,truck,Vehicles,Dinnerware,closer to vehicles,closer to dinnerware,,,
0,0.0046363686,0.0048776678,0.0035537006,0.0044298981,0.0045331334,0.0042156842,False,True,,,
1,0.0053922243,0.0068512173,0.0070058759,0.0056925719,0.0055423981,0.0069285466,True,False,,,
2,0.0053506964,0.005474405,0.0051086109,0.0053755685,0.0053631325,0.005291508,False,True,,,
3,0.0043800667,0.0040608473,0.0041378279,0.0042318367,0.0043059517,0.0040993376,False,True,,,
4,0.003195213,0.003957626,0.0041408385,0.0032893722,0.0032422926,0.0040492323,True,False,,,
5,0.0037527659,0.0043777185,0.0038486945,0.0047443891,0.0042485775,0.0041132065,False,True,,,
6,0.0072633252,0.0062358602,0.005302014,0.0068540692,0.0070586972,0.0057689371,False,True,,Ordering,
7,0.0060176207,0.0053484495,0.0062157398,0.0076315832,0.006824602,0.0057820947,False,True,,Random,
8,0.0053510775,0.0039636496,0.004174896,0.004653849,0.0050024633,0.0040692728,False,True,,,
9,0.0058191379,0.0058417654,0.0076196103,0.0050494087,0.0054342733,0.0067306878,True,False,,,
10,0.0048254467,0.0045866469,0.0054698798,0.0036936407,0.0042595437,0.0050282633,True,False,,Number,
11,0.0042569069,0.004377461,0.0032149352,0.0041643526,0.0042106298,0.0037961981,False,True,,Break Closer to Vehicles,2992
12,0.0066859221,0.0091173694,0.0088015917,0.0085396193,0.0076127707,0.0089594805,True,False,,Break Closer to Dinnerware,3008
13,0.0048722025,0.0046582377,0.0038155978,0.0049241789,0.0048981907,0.0042369177,False,True,,,
14,0.0035747345,0.0039726407,0.0035298016,0.0055018908,0.0045383126,0.0037512211,False,True,,Proportion,
15,0.005173719,0.0058355772,0.0066421894,0.0043977208,0.0047857199,0.0062388833,True,False,,Break Closer to Vehicles,0.4986
16,0.0086886206,0.0060892816,0.0085287599,0.005387679,0.0070381498,0.0073090208,True,False,,Break Closer to Dinnerware,0.5013
17,0.0052867586,0.0066135549,0.0053351695,0.007490004,0.0063883813,0.0059743622,False,True,,,
18,0.0102305639,0.0086710821,0.008254364,0.0065676121,0.008399088,0.0084627231,True,False,,,
