,random_100,health_languagearts_100,languagearts_health_100,random_200,health_languagearts_200,languagearts_health_200,random_300,health_languagearts_300,languagearts_health_300
0,0.27388535,0.418439716,0.342281879,0.092896175,0.149425287,0.149425287,0.075268817,0.075268817,0.069518717
1,0.315789474,0.315789474,0.342281879,0.086956522,0.092896175,0.086956522,0.092896175,0.047120419,0.075268817
2,0.25,0.388888889,0.379310345,0.098901099,0.129943503,0.092896175,0.052631579,0.104972376,0.104972376
3,0.298701299,0.282051282,0.315789474,0.086956522,0.111111111,0.149425287,0.075268817,0.069518717,0.052631579
4,0.242236025,0.315789474,0.342281879,0.069518717,0.075268817,0.098901099,0.030927835,0.075268817,0.069518717
5,0.307189542,0.333333333,0.298701299,0.086956522,0.098901099,0.136363636,0.047120419,0.069518717,0.086956522
6,0.234567901,0.360544218,0.342281879,0.069518717,0.092896175,0.086956522,0.063829787,0.075268817,0.058201058
7,0.265822785,0.360544218,0.298701299,0.075268817,0.111111111,0.098901099,0.086956522,0.092896175,0.092896175
8,0.282051282,0.342281879,0.324503311,0.052631579,0.069518717,0.136363636,0.075268817,0.081081081,0.092896175
9,0.226993865,0.398601399,0.307189542,0.069518717,0.176470588,0.123595506,0.086956522,0.063829787,0.041666667
10,0.333333333,0.360544218,0.307189542,0.111111111,0.136363636,0.098901099,0.052631579,0.069518717,0.081081081
11,0.290322581,0.360544218,0.315789474,0.129943503,0.142857143,0.142857143,0.069518717,0.098901099,0.104972376
12,0.27388535,0.351351351,0.315789474,0.081081081,0.117318436,0.081081081,0.075268817,0.047120419,0.086956522
13,0.242236025,0.360544218,0.204819277,0.069518717,0.098901099,0.123595506,0.041666667,0.025641026,0.052631579
14,0.324503311,0.379310345,0.342281879,0.111111111,0.142857143,0.129943503,0.063829787,0.058201058,0.092896175
15,0.290322581,0.351351351,0.27388535,0.092896175,0.142857143,0.086956522,0.03626943,0.104972376,0.069518717
16,0.298701299,0.388888889,0.369863014,0.098901099,0.149425287,0.104972376,0.069518717,0.063829787,0.081081081
17,0.282051282,0.379310345,0.324503311,0.098901099,0.104972376,0.129943503,0.041666667,0.081081081,0.030927835
18,0.298701299,0.398601399,0.342281879,0.111111111,0.136363636,0.104972376,0.058201058,0.092896175,0.098901099
19,0.298701299,0.298701299,0.290322581,0.136363636,0.129943503,0.092896175,0.092896175,0.069518717,0.081081081
20,0.324503311,0.298701299,0.307189542,0.098901099,0.162790698,0.104972376,0.058201058,0.086956522,0.081081081
21,0.234567901,0.333333333,0.298701299,0.047120419,0.123595506,0.129943503,0.041666667,0.041666667,0.098901099
22,0.333333333,0.369863014,0.298701299,0.136363636,0.123595506,0.075268817,0.081081081,0.086956522,0.075268817
23,0.226993865,0.398601399,0.257861635,0.063829787,0.136363636,0.092896175,0.041666667,0.047120419,0.069518717
24,0.333333333,0.351351351,0.27388535,0.117318436,0.162790698,0.098901099,0.081081081,0.098901099,0.063829787
25,0.307189542,0.369863014,0.351351351,0.117318436,0.104972376,0.111111111,0.069518717,0.104972376,0.069518717
26,0.257861635,0.360544218,0.307189542,0.081081081,0.136363636,0.123595506,0.058201058,0.081081081,0.117318436
27,0.290322581,0.398601399,0.234567901,0.092896175,0.156069364,0.117318436,0.047120419,0.063829787,0.063829787
28,0.290322581,0.351351351,0.307189542,0.092896175,0.129943503,0.098901099,0.063829787,0.069518717,0.086956522
29,0.342281879,0.333333333,0.342281879,0.104972376,0.136363636,0.104972376,0.052631579,0.052631579,0.092896175
30,0.27388535,0.369863014,0.282051282,0.069518717,0.129943503,0.123595506,0.081081081,0.111111111,0.081081081
31,0.307189542,0.369863014,0.324503311,0.117318436,0.123595506,0.063829787,0.058201058,0.052631579,0.081081081
32,0.282051282,0.315789474,0.307189542,0.104972376,0.104972376,0.069518717,0.058201058,0.075268817,0.052631579
33,0.290322581,0.398601399,0.324503311,0.098901099,0.169590643,0.136363636,0.041666667,0.086956522,0.086956522
34,0.242236025,0.324503311,0.315789474,0.086956522,0.081081081,0.149425287,0.081081081,0.098901099,0.069518717
35,0.307189542,0.418439716,0.27388535,0.069518717,0.156069364,0.104972376,0.069518717,0.086956522,0.058201058
36,0.342281879,0.388888889,0.315789474,0.117318436,0.086956522,0.129943503,0.075268817,0.063829787,0.092896175
37,0.315789474,0.438848921,0.360544218,0.052631579,0.183431953,0.098901099,0.025641026,0.117318436,0.063829787
38,0.226993865,0.333333333,0.369863014,0.104972376,0.111111111,0.111111111,0.041666667,0.081081081,0.063829787
39,0.324503311,0.379310345,0.290322581,0.123595506,0.129943503,0.092896175,0.058201058,0.063829787,0.058201058
40,0.298701299,0.351351351,0.324503311,0.069518717,0.117318436,0.075268817,0.063829787,0.081081081,0.063829787
41,0.242236025,0.360544218,0.290322581,0.075268817,0.142857143,0.092896175,0.063829787,0.098901099,0.123595506
42,0.265822785,0.438848921,0.324503311,0.086956522,0.129943503,0.098901099,0.052631579,0.104972376,0.041666667
43,0.282051282,0.369863014,0.324503311,0.092896175,0.129943503,0.129943503,0.058201058,0.111111111,0.117318436
44,0.27388535,0.388888889,0.290322581,0.075268817,0.123595506,0.092896175,0.058201058,0.069518717,0.052631579
45,0.265822785,0.369863014,0.27388535,0.098901099,0.162790698,0.058201058,0.041666667,0.086956522,0.052631579
46,0.27388535,0.369863014,0.369863014,0.086956522,0.162790698,0.129943503,0.063829787,0.086956522,0.052631579
47,0.257861635,0.369863014,0.298701299,0.117318436,0.081081081,0.117318436,0.030927835,0.098901099,0.075268817
48,0.307189542,0.342281879,0.282051282,0.092896175,0.129943503,0.117318436,0.052631579,0.069518717,0.081081081
49,0.298701299,0.388888889,0.257861635,0.123595506,0.162790698,0.092896175,0.086956522,0.104972376,0.030927835
