,random_100,health_languagearts_100,languagearts_health_100,random_200,health_languagearts_200,languagearts_health_200,random_300,health_languagearts_300,languagearts_health_300
0,0.27388535,0.418439716,0.342281879,0.360544218,0.418439716,0.413427562,0.360544218,0.452784504,0.411764706
1,0.315789474,0.315789474,0.342281879,0.333333333,0.413427562,0.360544218,0.33037694,0.449275362,0.442307692
2,0.25,0.388888889,0.379310345,0.342281879,0.398601399,0.418439716,0.351351351,0.418439716,0.431980907
3,0.298701299,0.282051282,0.315789474,0.342281879,0.365187713,0.393728223,0.372997712,0.408450704,0.41509434
4,0.242236025,0.315789474,0.342281879,0.282051282,0.423487544,0.379310345,0.268498943,0.438848921,0.360544218
5,0.307189542,0.333333333,0.298701299,0.315789474,0.393728223,0.388888889,0.307189542,0.431980907,0.392111369
6,0.234567901,0.360544218,0.342281879,0.328903654,0.470588235,0.379310345,0.304347826,0.445783133,0.408450704
7,0.265822785,0.360544218,0.298701299,0.320132013,0.418439716,0.369863014,0.295896328,0.431980907,0.379310345
8,0.282051282,0.342281879,0.324503311,0.320132013,0.384083045,0.423487544,0.33037694,0.431980907,0.442307692
9,0.226993865,0.398601399,0.307189542,0.294498382,0.444043321,0.374570447,0.315789474,0.488833747,0.34529148
10,0.333333333,0.360544218,0.307189542,0.379310345,0.408450704,0.360544218,0.348314607,0.408450704,0.408450704
11,0.290322581,0.360544218,0.315789474,0.365187713,0.438848921,0.403508772,0.327433628,0.459854015,0.435406699
12,0.27388535,0.351351351,0.315789474,0.342281879,0.398601399,0.398601399,0.348314607,0.385681293,0.438848921
13,0.242236025,0.360544218,0.204819277,0.324503311,0.384083045,0.302931596,0.342281879,0.392111369,0.312910284
14,0.324503311,0.379310345,0.342281879,0.379310345,0.433691756,0.379310345,0.357466063,0.428571429,0.442307692
15,0.290322581,0.351351351,0.27388535,0.324503311,0.428571429,0.333333333,0.336302895,0.442307692,0.372997712
16,0.298701299,0.388888889,0.369863014,0.355932203,0.486988848,0.408450704,0.385681293,0.463414634,0.425178147
17,0.282051282,0.379310345,0.324503311,0.369863014,0.413427562,0.374570447,0.360544218,0.41509434,0.372997712
18,0.298701299,0.398601399,0.342281879,0.351351351,0.413427562,0.408450704,0.33037694,0.45631068,0.435406699
19,0.298701299,0.298701299,0.290322581,0.388888889,0.365187713,0.346801347,0.372997712,0.41509434,0.366742597
20,0.324503311,0.298701299,0.307189542,0.360544218,0.408450704,0.413427562,0.360544218,0.445783133,0.392111369
21,0.234567901,0.333333333,0.298701299,0.282051282,0.444043321,0.398601399,0.271186441,0.431980907,0.398601399
22,0.333333333,0.369863014,0.298701299,0.374570447,0.408450704,0.351351351,0.418439716,0.435406699,0.379310345
23,0.226993865,0.398601399,0.257861635,0.290322581,0.444043321,0.351351351,0.307189542,0.401869159,0.382488479
24,0.333333333,0.351351351,0.27388535,0.393728223,0.408450704,0.355932203,0.382488479,0.438848921,0.385681293
25,0.307189542,0.369863014,0.351351351,0.360544218,0.438848921,0.403508772,0.363636364,0.445783133,0.382488479
26,0.257861635,0.360544218,0.307189542,0.328903654,0.413427562,0.355932203,0.321585903,0.438848921,0.360544218
27,0.290322581,0.398601399,0.234567901,0.333333333,0.423487544,0.342281879,0.315789474,0.466992665,0.379310345
28,0.290322581,0.351351351,0.307189542,0.346801347,0.454545455,0.365187713,0.363636364,0.45631068,0.411764706
29,0.342281879,0.333333333,0.342281879,0.398601399,0.423487544,0.355932203,0.398601399,0.459854015,0.421800948
30,0.27388535,0.369863014,0.282051282,0.333333333,0.438848921,0.388888889,0.327433628,0.445783133,0.428571429
31,0.307189542,0.369863014,0.324503311,0.393728223,0.388888889,0.328903654,0.372997712,0.411764706,0.395348837
32,0.282051282,0.315789474,0.307189542,0.351351351,0.384083045,0.346801347,0.372997712,0.428571429,0.408450704
33,0.290322581,0.398601399,0.324503311,0.333333333,0.433691756,0.418439716,0.33037694,0.445783133,0.438848921
34,0.242236025,0.324503311,0.315789474,0.31147541,0.398601399,0.374570447,0.327433628,0.452784504,0.408450704
35,0.307189542,0.418439716,0.27388535,0.333333333,0.428571429,0.379310345,0.333333333,0.459854015,0.366742597
36,0.342281879,0.388888889,0.315789474,0.384083045,0.403508772,0.369863014,0.366742597,0.466992665,0.418439716
37,0.315789474,0.438848921,0.360544218,0.315789474,0.470588235,0.365187713,0.336302895,0.45631068,0.438848921
38,0.226993865,0.333333333,0.369863014,0.298701299,0.369863014,0.413427562,0.295896328,0.425178147,0.445783133
39,0.324503311,0.379310345,0.290322581,0.374570447,0.398601399,0.360544218,0.372997712,0.401869159,0.363636364
40,0.298701299,0.351351351,0.324503311,0.333333333,0.403508772,0.355932203,0.321585903,0.405152225,0.376146789
41,0.242236025,0.360544218,0.290322581,0.286173633,0.428571429,0.379310345,0.271186441,0.438848921,0.418439716
42,0.265822785,0.438848921,0.324503311,0.31147541,0.454545455,0.393728223,0.348314607,0.492537313,0.41509434
43,0.282051282,0.369863014,0.324503311,0.355932203,0.428571429,0.388888889,0.348314607,0.452784504,0.388888889
44,0.27388535,0.388888889,0.290322581,0.360544218,0.393728223,0.374570447,0.385681293,0.438848921,0.398601399
45,0.265822785,0.369863014,0.27388535,0.320132013,0.438848921,0.315789474,0.33037694,0.488833747,0.351351351
46,0.27388535,0.369863014,0.369863014,0.337792642,0.423487544,0.413427562,0.351351351,0.438848921,0.392111369
47,0.257861635,0.369863014,0.298701299,0.298701299,0.398601399,0.374570447,0.293103448,0.431980907,0.401869159
48,0.307189542,0.342281879,0.282051282,0.342281879,0.423487544,0.374570447,0.321585903,0.445783133,0.408450704
49,0.298701299,0.388888889,0.257861635,0.351351351,0.454545455,0.351351351,0.348314607,0.445783133,0.363636364
