,random_100,socialstudies_industrialarts_100,industrialarts_socialstudies_100,random_200,socialstudies_industrialarts_200,industrialarts_socialstudies_200,random_300,socialstudies_industrialarts_300,industrialarts_socialstudies_300
0,0.492537313,0.515151515,0.492537313,0.498127341,0.53256705,0.509433962,0.530612245,0.542416452,0.507537688
1,0.481481481,0.449275362,0.538461538,0.544401544,0.47601476,0.509433962,0.538461538,0.481481481,0.515151515
2,0.503759398,0.538461538,0.612903226,0.492537313,0.53256705,0.520912548,0.518987342,0.5625,0.52284264
3,0.5625,0.587301587,0.503759398,0.498127341,0.53256705,0.57480315,0.507537688,0.538461538,0.591511936
4,0.481481481,0.503759398,0.515151515,0.498127341,0.520912548,0.470588235,0.52284264,0.542416452,0.530612245
5,0.449275362,0.5625,0.550387597,0.509433962,0.515151515,0.526717557,0.507537688,0.554404145,0.554404145
6,0.470588235,0.503759398,0.526717557,0.492537313,0.503759398,0.593625498,0.526717557,0.550387597,0.554404145
7,0.459854015,0.57480315,0.515151515,0.481481481,0.550387597,0.544401544,0.503759398,0.503759398,0.587301587
8,0.503759398,0.550387597,0.550387597,0.53256705,0.550387597,0.550387597,0.546391753,0.591511936,0.5625
9,0.418439716,0.481481481,0.587301587,0.459854015,0.53256705,0.5625,0.488833747,0.608579088,0.583113456
10,0.503759398,0.550387597,0.538461538,0.481481481,0.57480315,0.538461538,0.515151515,0.538461538,0.558441558
11,0.481481481,0.515151515,0.503759398,0.47601476,0.526717557,0.556420233,0.515151515,0.570680628,0.526717557
12,0.418439716,0.526717557,0.5625,0.433691756,0.509433962,0.568627451,0.459854015,0.511335013,0.558441558
13,0.470588235,0.503759398,0.5625,0.520912548,0.520912548,0.57480315,0.530612245,0.550387597,0.52284264
14,0.515151515,0.503759398,0.515151515,0.486988848,0.5625,0.550387597,0.515151515,0.570680628,0.578947368
15,0.470588235,0.538461538,0.550387597,0.53256705,0.53256705,0.53256705,0.515151515,0.550387597,0.546391753
16,0.538461538,0.57480315,0.5625,0.486988848,0.53256705,0.550387597,0.503759398,0.542416452,0.591511936
17,0.492537313,0.492537313,0.503759398,0.520912548,0.526717557,0.53256705,0.550387597,0.542416452,0.558441558
18,0.492537313,0.538461538,0.515151515,0.503759398,0.556420233,0.550387597,0.518987342,0.5625,0.570680628
19,0.470588235,0.515151515,0.6,0.498127341,0.498127341,0.556420233,0.507537688,0.558441558,0.5625
20,0.515151515,0.5625,0.503759398,0.515151515,0.550387597,0.593625498,0.554404145,0.546391753,0.5625
21,0.515151515,0.538461538,0.481481481,0.470588235,0.538461538,0.587301587,0.488833747,0.57480315,0.57480315
22,0.428571429,0.503759398,0.481481481,0.459854015,0.503759398,0.544401544,0.492537313,0.515151515,0.542416452
23,0.408450704,0.503759398,0.526717557,0.481481481,0.470588235,0.57480315,0.492537313,0.52284264,0.591511936
24,0.503759398,0.526717557,0.481481481,0.520912548,0.470588235,0.498127341,0.518987342,0.515151515,0.515151515
25,0.418439716,0.538461538,0.515151515,0.418439716,0.520912548,0.520912548,0.459854015,0.554404145,0.542416452
26,0.481481481,0.526717557,0.538461538,0.503759398,0.53256705,0.520912548,0.542416452,0.526717557,0.546391753
27,0.470588235,0.550387597,0.492537313,0.481481481,0.5625,0.538461538,0.507537688,0.566579634,0.554404145
28,0.492537313,0.5625,0.503759398,0.515151515,0.556420233,0.520912548,0.534526854,0.542416452,0.526717557
29,0.470588235,0.481481481,0.526717557,0.544401544,0.465201465,0.5625,0.57480315,0.52284264,0.538461538
30,0.481481481,0.550387597,0.526717557,0.526717557,0.526717557,0.5625,0.5,0.550387597,0.595744681
31,0.57480315,0.6,0.459854015,0.503759398,0.568627451,0.544401544,0.526717557,0.5625,0.550387597
32,0.438848921,0.538461538,0.550387597,0.449275362,0.568627451,0.538461538,0.470588235,0.57480315,0.538461538
33,0.449275362,0.526717557,0.5625,0.492537313,0.520912548,0.5625,0.496259352,0.542416452,0.550387597
34,0.459854015,0.503759398,0.6,0.538461538,0.503759398,0.5625,0.511335013,0.485148515,0.583113456
35,0.418439716,0.550387597,0.515151515,0.470588235,0.526717557,0.544401544,0.481481481,0.604278075,0.538461538
36,0.428571429,0.492537313,0.515151515,0.509433962,0.492537313,0.550387597,0.466992665,0.515151515,0.570680628
37,0.470588235,0.515151515,0.503759398,0.526717557,0.520912548,0.568627451,0.530612245,0.546391753,0.5625
38,0.428571429,0.550387597,0.538461538,0.465201465,0.556420233,0.53256705,0.45631068,0.578947368,0.554404145
39,0.492537313,0.57480315,0.481481481,0.481481481,0.53256705,0.515151515,0.5,0.583113456,0.566579634
40,0.492537313,0.515151515,0.470588235,0.470588235,0.544401544,0.486988848,0.485148515,0.554404145,0.492537313
41,0.438848921,0.538461538,0.526717557,0.465201465,0.556420233,0.526717557,0.470588235,0.530612245,0.546391753
42,0.438848921,0.515151515,0.5625,0.454545455,0.544401544,0.5625,0.470588235,0.546391753,0.5625
43,0.459854015,0.481481481,0.5625,0.454545455,0.53256705,0.5625,0.466992665,0.515151515,0.546391753
44,0.470588235,0.5625,0.470588235,0.492537313,0.538461538,0.550387597,0.515151515,0.591511936,0.558441558
45,0.449275362,0.550387597,0.587301587,0.444043321,0.593625498,0.520912548,0.45631068,0.587301587,0.534526854
46,0.481481481,0.515151515,0.612903226,0.492537313,0.492537313,0.5625,0.515151515,0.538461538,0.57480315
47,0.515151515,0.5625,0.492537313,0.492537313,0.581027668,0.550387597,0.507537688,0.554404145,0.550387597
48,0.449275362,0.550387597,0.449275362,0.481481481,0.509433962,0.481481481,0.515151515,0.515151515,0.538461538
49,0.481481481,0.550387597,0.538461538,0.520912548,0.5625,0.550387597,0.534526854,0.5625,0.550387597
50,0.481481481,0.538461538,0.550387597,0.503759398,0.550387597,0.587301587,0.511335013,0.554404145,0.538461538
51,0.503759398,0.481481481,0.515151515,0.503759398,0.515151515,0.515151515,0.5625,0.534526854,0.542416452
52,0.408450704,0.587301587,0.538461538,0.438848921,0.520912548,0.515151515,0.485148515,0.538461538,0.566579634
53,0.57480315,0.538461538,0.515151515,0.520912548,0.57480315,0.581027668,0.538461538,0.578947368,0.608579088
54,0.538461538,0.470588235,0.587301587,0.57480315,0.47601476,0.538461538,0.546391753,0.5,0.578947368
55,0.503759398,0.526717557,0.550387597,0.449275362,0.5625,0.538461538,0.485148515,0.538461538,0.578947368
56,0.503759398,0.538461538,0.57480315,0.492537313,0.5625,0.57480315,0.518987342,0.538461538,0.566579634
57,0.492537313,0.503759398,0.5625,0.544401544,0.503759398,0.5625,0.526717557,0.558441558,0.583113456
58,0.418439716,0.515151515,0.459854015,0.465201465,0.556420233,0.515151515,0.466992665,0.57480315,0.515151515
59,0.449275362,0.538461538,0.550387597,0.509433962,0.520912548,0.544401544,0.488833747,0.5625,0.587301587
60,0.428571429,0.587301587,0.492537313,0.454545455,0.568627451,0.568627451,0.52284264,0.570680628,0.578947368
61,0.481481481,0.538461538,0.538461538,0.449275362,0.5625,0.53256705,0.503759398,0.538461538,0.5625
62,0.492537313,0.5625,0.492537313,0.526717557,0.53256705,0.556420233,0.507537688,0.5625,0.570680628
63,0.538461538,0.492537313,0.6,0.498127341,0.526717557,0.57480315,0.542416452,0.550387597,0.604278075
64,0.388888889,0.515151515,0.538461538,0.454545455,0.550387597,0.53256705,0.511335013,0.534526854,0.550387597
65,0.481481481,0.538461538,0.587301587,0.520912548,0.526717557,0.587301587,0.554404145,0.526717557,0.591511936
66,0.408450704,0.515151515,0.57480315,0.449275362,0.544401544,0.5625,0.477832512,0.52284264,0.554404145
67,0.492537313,0.587301587,0.550387597,0.515151515,0.5625,0.520912548,0.507537688,0.591511936,0.5625
68,0.428571429,0.57480315,0.470588235,0.486988848,0.515151515,0.509433962,0.534526854,0.57480315,0.550387597
69,0.5625,0.6,0.515151515,0.47601476,0.550387597,0.526717557,0.492537313,0.5625,0.566579634
70,0.449275362,0.503759398,0.587301587,0.433691756,0.57480315,0.57480315,0.52284264,0.5625,0.566579634
71,0.470588235,0.526717557,0.515151515,0.509433962,0.520912548,0.498127341,0.534526854,0.554404145,0.542416452
72,0.503759398,0.538461538,0.526717557,0.486988848,0.550387597,0.53256705,0.481481481,0.57480315,0.566579634
73,0.449275362,0.503759398,0.538461538,0.498127341,0.498127341,0.526717557,0.52284264,0.542416452,0.534526854
74,0.5625,0.57480315,0.515151515,0.481481481,0.538461538,0.556420233,0.570680628,0.546391753,0.591511936
75,0.470588235,0.538461538,0.550387597,0.481481481,0.492537313,0.568627451,0.518987342,0.530612245,0.566579634
76,0.481481481,0.538461538,0.57480315,0.509433962,0.47601476,0.593625498,0.515151515,0.52284264,0.566579634
77,0.438848921,0.503759398,0.515151515,0.481481481,0.53256705,0.538461538,0.518987342,0.526717557,0.554404145
78,0.459854015,0.492537313,0.515151515,0.492537313,0.498127341,0.515151515,0.507537688,0.530612245,0.558441558
79,0.459854015,0.492537313,0.538461538,0.47601476,0.486988848,0.526717557,0.518987342,0.507537688,0.546391753
80,0.438848921,0.5625,0.550387597,0.433691756,0.544401544,0.5625,0.463414634,0.570680628,0.583113456
81,0.503759398,0.481481481,0.481481481,0.486988848,0.509433962,0.568627451,0.511335013,0.511335013,0.583113456
82,0.503759398,0.515151515,0.481481481,0.454545455,0.550387597,0.556420233,0.459854015,0.52284264,0.587301587
83,0.503759398,0.515151515,0.538461538,0.503759398,0.5625,0.568627451,0.511335013,0.550387597,0.558441558
84,0.418439716,0.503759398,0.515151515,0.486988848,0.486988848,0.544401544,0.496259352,0.578947368,0.558441558
85,0.438848921,0.538461538,0.5625,0.444043321,0.520912548,0.5625,0.463414634,0.550387597,0.550387597
86,0.481481481,0.526717557,0.503759398,0.520912548,0.53256705,0.5625,0.52284264,0.578947368,0.550387597
87,0.515151515,0.538461538,0.550387597,0.492537313,0.492537313,0.612903226,0.534526854,0.534526854,0.550387597
88,0.470588235,0.550387597,0.550387597,0.492537313,0.53256705,0.520912548,0.507537688,0.550387597,0.538461538
89,0.515151515,0.5625,0.515151515,0.515151515,0.538461538,0.556420233,0.511335013,0.578947368,0.542416452
90,0.481481481,0.538461538,0.492537313,0.53256705,0.550387597,0.515151515,0.526717557,0.550387597,0.5625
91,0.492537313,0.57480315,0.5625,0.526717557,0.568627451,0.550387597,0.511335013,0.546391753,0.558441558
92,0.538461538,0.538461538,0.515151515,0.509433962,0.568627451,0.498127341,0.526717557,0.542416452,0.538461538
93,0.459854015,0.459854015,0.492537313,0.47601476,0.498127341,0.538461538,0.496259352,0.485148515,0.566579634
94,0.449275362,0.459854015,0.57480315,0.53256705,0.568627451,0.556420233,0.530612245,0.542416452,0.578947368
95,0.449275362,0.57480315,0.587301587,0.470588235,0.538461538,0.639344262,0.481481481,0.550387597,0.57480315
96,0.470588235,0.5625,0.587301587,0.492537313,0.544401544,0.556420233,0.488833747,0.583113456,0.558441558
97,0.438848921,0.492537313,0.57480315,0.465201465,0.538461538,0.503759398,0.507537688,0.546391753,0.5625
98,0.5625,0.515151515,0.526717557,0.538461538,0.470588235,0.544401544,0.530612245,0.542416452,0.570680628
99,0.503759398,0.526717557,0.6,0.509433962,0.581027668,0.538461538,0.534526854,0.558441558,0.530612245
