,random_100,health_languagearts_100,languagearts_health_100,random_200,health_languagearts_200,languagearts_health_200,random_300,health_languagearts_300,languagearts_health_300
0,0.265822785,0.282051282,0.342281879,0.081081081,0.104972376,0.086956522,0.041666667,0.098901099,0.075268817
1,0.226993865,0.234567901,0.307189542,0.098901099,0.052631579,0.111111111,0.069518717,0.058201058,0.058201058
2,0.219512195,0.290322581,0.298701299,0.075268817,0.075268817,0.086956522,0.047120419,0.063829787,0.047120419
3,0.176470588,0.242236025,0.379310345,0.092896175,0.075268817,0.136363636,0.063829787,0.075268817,0.081081081
4,0.257861635,0.282051282,0.379310345,0.069518717,0.123595506,0.123595506,0.015228426,0.058201058,0.081081081
5,0.219512195,0.333333333,0.290322581,0.063829787,0.092896175,0.092896175,0.058201058,0.069518717,0.041666667
6,0.212121212,0.265822785,0.324503311,0.069518717,0.063829787,0.063829787,0.052631579,0.063829787,0.086956522
7,0.282051282,0.226993865,0.369863014,0.069518717,0.081081081,0.129943503,0.025641026,0.058201058,0.081081081
8,0.25,0.257861635,0.333333333,0.063829787,0.117318436,0.136363636,0.052631579,0.069518717,0.063829787
9,0.219512195,0.315789474,0.333333333,0.092896175,0.129943503,0.123595506,0.063829787,0.047120419,0.123595506
10,0.242236025,0.25,0.351351351,0.075268817,0.075268817,0.136363636,0.069518717,0.03626943,0.052631579
11,0.242236025,0.324503311,0.282051282,0.098901099,0.075268817,0.081081081,0.047120419,0.081081081,0.075268817
12,0.19047619,0.315789474,0.388888889,0.069518717,0.081081081,0.092896175,0.069518717,0.075268817,0.063829787
13,0.19047619,0.315789474,0.351351351,0.104972376,0.075268817,0.086956522,0.03626943,0.069518717,0.104972376
14,0.212121212,0.307189542,0.369863014,0.069518717,0.086956522,0.129943503,0.063829787,0.075268817,0.069518717
15,0.234567901,0.298701299,0.298701299,0.092896175,0.117318436,0.098901099,0.047120419,0.081081081,0.063829787
16,0.242236025,0.257861635,0.324503311,0.086956522,0.092896175,0.104972376,0.063829787,0.052631579,0.069518717
17,0.257861635,0.212121212,0.307189542,0.081081081,0.069518717,0.092896175,0.063829787,0.041666667,0.075268817
18,0.242236025,0.333333333,0.324503311,0.081081081,0.117318436,0.123595506,0.052631579,0.086956522,0.086956522
19,0.257861635,0.27388535,0.307189542,0.03626943,0.086956522,0.086956522,0.025641026,0.081081081,0.075268817
20,0.19760479,0.307189542,0.315789474,0.098901099,0.111111111,0.123595506,0.041666667,0.03626943,0.052631579
21,0.212121212,0.257861635,0.27388535,0.058201058,0.117318436,0.104972376,0.069518717,0.047120419,0.063829787
22,0.169590643,0.27388535,0.307189542,0.020408163,0.117318436,0.086956522,0.03626943,0.058201058,0.081081081
23,0.257861635,0.315789474,0.324503311,0.075268817,0.129943503,0.117318436,0.025641026,0.063829787,0.069518717
24,0.226993865,0.290322581,0.333333333,0.058201058,0.069518717,0.098901099,0.030927835,0.047120419,0.063829787
25,0.204819277,0.298701299,0.307189542,0.063829787,0.086956522,0.075268817,0.069518717,0.063829787,0.069518717
26,0.176470588,0.290322581,0.307189542,0.047120419,0.063829787,0.129943503,0.058201058,0.063829787,0.098901099
27,0.242236025,0.282051282,0.351351351,0.052631579,0.069518717,0.104972376,0.069518717,0.047120419,0.104972376
28,0.204819277,0.290322581,0.315789474,0.075268817,0.092896175,0.117318436,0.081081081,0.069518717,0.063829787
29,0.234567901,0.265822785,0.257861635,0.086956522,0.098901099,0.092896175,0.063829787,0.063829787,0.069518717
30,0.25,0.282051282,0.27388535,0.075268817,0.069518717,0.086956522,0.052631579,0.063829787,0.063829787
31,0.234567901,0.25,0.315789474,0.075268817,0.098901099,0.142857143,0.03626943,0.069518717,0.063829787
32,0.204819277,0.265822785,0.324503311,0.081081081,0.058201058,0.117318436,0.058201058,0.081081081,0.092896175
33,0.242236025,0.27388535,0.333333333,0.069518717,0.117318436,0.123595506,0.052631579,0.081081081,0.069518717
34,0.25,0.27388535,0.307189542,0.063829787,0.047120419,0.086956522,0.052631579,0.047120419,0.041666667
35,0.242236025,0.307189542,0.388888889,0.086956522,0.086956522,0.142857143,0.047120419,0.081081081,0.069518717
36,0.19047619,0.333333333,0.324503311,0.092896175,0.092896175,0.104972376,0.052631579,0.063829787,0.063829787
37,0.234567901,0.265822785,0.342281879,0.081081081,0.058201058,0.098901099,0.041666667,0.047120419,0.081081081
38,0.257861635,0.298701299,0.342281879,0.075268817,0.104972376,0.092896175,0.058201058,0.052631579,0.063829787
