,random_100,health_languagearts_100,languagearts_health_100,random_200,health_languagearts_200,languagearts_health_200,random_300,health_languagearts_300,languagearts_health_300
0,0.265822785,0.282051282,0.342281879,0.298701299,0.360544218,0.328903654,0.327433628,0.363636364,0.421800948
1,0.226993865,0.234567901,0.307189542,0.282051282,0.257861635,0.369863014,0.290322581,0.298701299,0.369863014
2,0.219512195,0.290322581,0.298701299,0.226993865,0.307189542,0.379310345,0.307189542,0.348314607,0.408450704
3,0.176470588,0.242236025,0.379310345,0.261829653,0.294498382,0.393728223,0.327433628,0.339285714,0.45631068
4,0.257861635,0.282051282,0.379310345,0.282051282,0.351351351,0.398601399,0.304347826,0.388888889,0.41509434
5,0.219512195,0.333333333,0.290322581,0.25,0.355932203,0.346801347,0.268498943,0.363636364,0.405152225
6,0.212121212,0.265822785,0.324503311,0.242236025,0.298701299,0.374570447,0.282051282,0.339285714,0.431980907
7,0.282051282,0.226993865,0.369863014,0.265822785,0.307189542,0.388888889,0.293103448,0.312910284,0.425178147
8,0.25,0.257861635,0.333333333,0.282051282,0.31147541,0.408450704,0.304347826,0.339285714,0.425178147
9,0.219512195,0.315789474,0.333333333,0.265822785,0.346801347,0.398601399,0.304347826,0.372997712,0.438848921
10,0.242236025,0.25,0.351351351,0.261829653,0.265822785,0.418439716,0.342281879,0.312910284,0.442307692
11,0.242236025,0.324503311,0.282051282,0.302931596,0.365187713,0.351351351,0.333333333,0.388888889,0.398601399
12,0.19047619,0.315789474,0.388888889,0.242236025,0.342281879,0.369863014,0.276595745,0.366742597,0.405152225
13,0.19047619,0.315789474,0.351351351,0.257861635,0.333333333,0.360544218,0.27388535,0.369863014,0.395348837
14,0.212121212,0.307189542,0.369863014,0.265822785,0.315789474,0.418439716,0.304347826,0.327433628,0.425178147
15,0.234567901,0.298701299,0.298701299,0.298701299,0.355932203,0.360544218,0.304347826,0.385681293,0.421800948
16,0.242236025,0.257861635,0.324503311,0.290322581,0.302931596,0.369863014,0.304347826,0.339285714,0.435406699
17,0.257861635,0.212121212,0.307189542,0.282051282,0.302931596,0.346801347,0.312910284,0.324503311,0.418439716
18,0.242236025,0.333333333,0.324503311,0.277955272,0.369863014,0.393728223,0.301518438,0.392111369,0.425178147
19,0.257861635,0.27388535,0.307189542,0.261829653,0.26984127,0.374570447,0.284796574,0.327433628,0.435406699
20,0.19760479,0.307189542,0.315789474,0.234567901,0.365187713,0.418439716,0.265822785,0.363636364,0.431980907
21,0.212121212,0.257861635,0.27388535,0.246105919,0.294498382,0.369863014,0.304347826,0.336302895,0.395348837
22,0.169590643,0.27388535,0.307189542,0.19760479,0.302931596,0.31147541,0.232032854,0.348314607,0.372997712
23,0.257861635,0.315789474,0.324503311,0.282051282,0.320132013,0.423487544,0.301518438,0.342281879,0.431980907
24,0.226993865,0.290322581,0.333333333,0.261829653,0.333333333,0.360544218,0.287553648,0.339285714,0.431980907
25,0.204819277,0.298701299,0.307189542,0.286173633,0.298701299,0.328903654,0.298701299,0.336302895,0.421800948
26,0.176470588,0.290322581,0.307189542,0.226993865,0.282051282,0.403508772,0.290322581,0.339285714,0.452784504
27,0.242236025,0.282051282,0.351351351,0.25,0.307189542,0.369863014,0.298701299,0.333333333,0.408450704
28,0.204819277,0.290322581,0.315789474,0.282051282,0.302931596,0.379310345,0.348314607,0.366742597,0.388888889
29,0.234567901,0.265822785,0.257861635,0.277955272,0.307189542,0.384083045,0.304347826,0.339285714,0.401869159
30,0.25,0.282051282,0.27388535,0.298701299,0.290322581,0.328903654,0.312910284,0.327433628,0.366742597
31,0.234567901,0.25,0.315789474,0.282051282,0.337792642,0.379310345,0.327433628,0.366742597,0.408450704
32,0.204819277,0.265822785,0.324503311,0.242236025,0.286173633,0.413427562,0.307189542,0.321585903,0.438848921
33,0.242236025,0.27388535,0.333333333,0.261829653,0.328903654,0.360544218,0.312910284,0.339285714,0.376146789
34,0.25,0.27388535,0.307189542,0.246105919,0.315789474,0.351351351,0.263157895,0.342281879,0.405152225
35,0.242236025,0.307189542,0.388888889,0.282051282,0.346801347,0.346801347,0.290322581,0.392111369,0.398601399
36,0.19047619,0.333333333,0.324503311,0.238390093,0.355932203,0.369863014,0.244813278,0.366742597,0.41509434
37,0.234567901,0.265822785,0.342281879,0.25,0.298701299,0.384083045,0.279317697,0.34529148,0.445783133
