,car,glass,plate,truck,Vehicles,Dinnerware,closer to vehicles,closer to dinnerware,,,,,
0,0.0230523991,0.0165812049,0.0165694288,0.0231551056,0.0231037524,0.0165753168,False,True,,,,,
1,0.0223529642,0.0246946768,0.0309980184,0.0315557329,0.0269543486,0.0278463476,True,False,,,,,
2,0.0324712178,0.0278069059,0.0242219723,0.0262000902,0.029335654,0.0260144391,False,True,,,,,
3,0.0276304933,0.0153462062,0.0203127317,0.0370706294,0.0323505613,0.017829469,False,True,,,,,
4,0.013489294,0.0174044874,0.0171447911,0.0197771123,0.0166332031,0.0172746393,True,False,,,,,
5,0.0267518581,0.0209088028,0.0213130662,0.0271039969,0.0269279275,0.0211109345,False,True,,,,,
6,0.0307275277,0.020216998,0.0215465188,0.0205899621,0.0256587449,0.0208817584,False,True,,,,,
7,0.0430993251,0.0486211852,0.0423354371,0.0340948328,0.0385970789,0.0454783112,True,False,,,,,
8,0.0184924364,0.0155561312,0.0143285799,0.0146118502,0.0165521433,0.0149423556,False,True,,,Ordering,,
9,0.019573092,0.0223948316,0.0228186692,0.0212080535,0.0203905727,0.0226067504,True,False,,,First,Vehicle,1500
10,0.0165845539,0.0110069267,0.0127319007,0.0159975276,0.0162910408,0.0118694137,False,True,,,Second,Dinnerware,2960
11,0.0289670594,0.0303329897,0.0345749397,0.0276311618,0.0282991106,0.0324539647,True,False,,,,,
12,0.0288324566,0.0336353259,0.0334782751,0.0304492758,0.0296408662,0.0335568005,True,False,,,Number,,
13,0.0211795931,0.0180377545,0.0229724707,0.0289207011,0.0250501471,0.0205051126,False,True,,,Break Closer to Vehicles,1598,
14,0.0348838347,0.0235837728,0.0140645661,0.0183343649,0.0266090998,0.0188241695,False,True,,,Break Closer to Dinnerware,4402,
15,0.0286611585,0.0222260155,0.028993775,0.0306668668,0.0296640127,0.0256098953,False,True,,,,,
16,0.0317938916,0.0221647873,0.0223161356,0.0229946445,0.0273942681,0.0222404615,False,True,,,Proportion,,
17,0.0294209423,0.0368338697,0.0284997415,0.0296890249,0.0295549836,0.0326668056,True,False,,,Break Closer to Vehicles,0.2663,
18,0.037689207,0.0298337768,0.0331228919,0.034586156,0.0361376815,0.0314783343,False,True,,,Break Closer to Dinnerware,0.7333,
19,0.0320709232,0.0205137023,0.0244415661,0.0252696924,0.0286703078,0.0224776342,False,True,,,,,
20,0.0198899189,0.0180113831,0.0200627106,0.0203194123,0.0201046656,0.0190370468,False,True,,,,,
21,0.0299273401,0.0254298543,0.0152806353,0.0203595381,0.0251434391,0.0203552448,False,True,,,,,
22,0.0169051466,0.0152952265,0.0109881908,0.0199649632,0.0184350549,0.0131417087,False,True,,,,,
23,0.0262227155,0.0261173957,0.0197520401,0.0339299767,0.0300763461,0.0229347179,False,True,,,,,
24,0.0274811727,0.0250152809,0.021412275,0.0292540898,0.0283676313,0.0232137779,False,True,,,,,
25,0.0301434154,0.031683312,0.0270498084,0.0359401858,0.0330418006,0.0293665602,False,True,,,,,
26,0.0134922966,0.0095077581,0.0153699413,0.010337102,0.0119146993,0.0124388497,True,False,,,,,
27,0.0260781435,0.021927593,0.0269472887,0.0273173134,0.0266977284,0.0244374408,False,True,,,,,
28,0.0274522135,0.0242511365,0.0233342458,0.0287884514,0.0281203324,0.0237926912,False,True,,,,,
29,0.0245982893,0.0157766043,0.0150875612,0.0170024131,0.0208003512,0.0154320827,False,True,,,,,
30,0.0131538509,0.0135860067,0.0106165712,0.0124692046,0.0128115278,0.012101289,False,True,,,,,
31,0.047131268,0.0332279075,0.0301606353,0.0464104248,0.0467708464,0.0316942714,False,True,,,,,
32,0.0186312451,0.0148844633,0.0183813481,0.0229148476,0.0207730464,0.0166329057,False,True,,,,,
33,0.0114180112,0.0121874952,0.0071479448,0.0103501907,0.010884101,0.00966772,False,True,,,,,
34,0.026851088,0.0221141578,0.018015834,0.0231159481,0.024983518,0.0200649959,False,True,,,,,
35,0.0302025705,0.0250423227,0.02642629,0.0219151686,0.0260588695,0.0257343063,False,True,,,,,
36,0.0244563869,0.0154614153,0.0163589265,0.0175045778,0.0209804824,0.0159101709,False,True,,,,,
37,0.0397359678,0.0288379203,0.0303317632,0.0448415917,0.0422887798,0.0295848417,False,True,,,,,
38,0.0160538523,0.0142239108,0.0149866831,0.019214551,0.0176342016,0.0146052969,False,True,,,,,
39,0.0131041437,0.0155833388,0.0132788953,0.0119664248,0.0125352842,0.014431117,True,False,,,,,
40,0.0256626494,0.013159767,0.0120418931,0.0181924738,0.0219275616,0.0126008301,False,True,,,,,
41,0.0145270409,0.0109210745,0.0100493505,0.0136152148,0.0140711278,0.0104852125,False,True,,,,,
42,0.013539107,0.0129397077,0.0158250914,0.0158815904,0.0147103487,0.0143823996,False,True,,,,,
43,0.0243729962,0.0187494375,0.0178026478,0.0209641869,0.0226685916,0.0182760427,False,True,,,,,
44,0.0270977659,0.0225802853,0.0235332104,0.0254935276,0.0262956467,0.0230567478,False,True,,,,,
45,0.0321726953,0.0195779767,0.0285752148,0.0283846722,0.0302786837,0.0240765958,False,True,,,,,
46,0.0181265748,0.019003111,0.0158247852,0.0234143296,0.0207704522,0.0174139481,False,True,,,,,
47,0.0191525903,0.0112689111,0.0144139986,0.0227666803,0.0209596353,0.0128414549,False,True,,,,,
48,0.0315574376,0.0279874962,0.0378603696,0.028802106,0.0301797718,0.0329239329,True,False,,,,,
49,0.0272175525,0.0164632175,0.0249642751,0.0292430877,0.0282303201,0.0207137463,False,True,,,,,
50,0.0174065799,0.0183230401,0.0215449033,0.0216937284,0.0195501542,0.0199339717,True,False,,,,,
51,0.0378764405,0.0309368977,0.0248178799,0.0360691176,0.0369727791,0.0278773888,False,True,,,,,
52,0.0326433327,0.0271406638,0.0346759901,0.0353810447,0.0340121887,0.0309083269,False,True,,,,,
53,0.0154992428,0.0215904077,0.019595235,0.0193038214,0.0174015321,0.0205928214,True,False,,,,,
54,0.0154202189,0.0155506472,0.0112976399,0.0151368612,0.0152785401,0.0134241436,False,True,,,,,
55,0.0160950323,0.0136370796,0.0141228418,0.0144832351,0.0152891337,0.0138799607,False,True,,,,,
56,0.0450007196,0.0256513553,0.0397512943,0.0488271206,0.0469139201,0.0327013248,False,True,,,,,
57,0.0275344929,0.0280737008,0.0243693378,0.0187523086,0.0231434007,0.0262215193,True,False,,,,,
58,0.0266534148,0.0344549616,0.0314083061,0.032408446,0.0295309304,0.0329316339,True,False,,,,,
59,0.0594914057,0.0525476706,0.0451999317,0.0535742297,0.0565328177,0.0488738012,False,True,,,,,
60,0.0232792889,0.0159800659,0.017928178,0.0230421937,0.0231607413,0.016954122,False,True,,,,,
61,0.0231260648,0.0254778716,0.0282178649,0.031007502,0.0270667834,0.0268478682,False,True,,,,,
62,0.0241315721,0.0226883772,0.0236207234,0.0274052351,0.0257684036,0.0231545503,False,True,,,,,
63,0.0264145379,0.0238537992,0.0222250178,0.0228214088,0.0246179733,0.0230394085,False,True,,,,,
64,0.0211885597,0.0124886564,0.016335062,0.0143184791,0.0177535194,0.0144118592,False,True,,,,,
65,0.0370267299,0.0394640209,0.0407377097,0.0388605834,0.0379436567,0.0401008653,True,False,,,,,
66,0.0122675835,0.0152449852,0.0172407206,0.0176762096,0.0149718965,0.0162428529,True,False,,,,,
67,0.03740899,0.0296532085,0.0341702862,0.041484856,0.039446923,0.0319117473,False,True,,,,,
68,0.0283396216,0.0181049754,0.0189818889,0.0241703467,0.0262549842,0.0185434322,False,True,,,,,
69,0.0200919538,0.0246351687,0.0160091662,0.0181421508,0.0191170523,0.0203221674,True,False,,,,,
70,0.0275833066,0.0191928904,0.0160014617,0.0248734317,0.0262283691,0.0175971761,False,True,,,,,
71,0.0456373278,0.0311684095,0.0410144723,0.0561645028,0.0509009153,0.0360914409,False,True,,,,,
72,0.0307377753,0.0239311156,0.02906158,0.039012141,0.0348749582,0.0264963478,False,True,,,,,
73,0.0232502216,0.0159125248,0.0196597921,0.0210623851,0.0221563034,0.0177861584,False,True,,,,,
74,0.0104886831,0.0108444875,0.0114275555,0.007066596,0.0087776396,0.0111360215,True,False,,,,,
75,0.0287382885,0.0204693706,0.0204572601,0.0154425323,0.0220904104,0.0204633153,False,True,,,,,
76,0.0200609569,0.0203132153,0.0250035194,0.0212719392,0.020666448,0.0226583673,True,False,,,,,
77,0.0124575374,0.0080481488,0.009186063,0.0100638311,0.0112606842,0.0086171059,False,True,,,,,
78,0.0308573362,0.0212693231,0.0298245007,0.0329096725,0.0318835044,0.0255469119,False,True,,,,,
79,0.0175930322,0.0178911361,0.0181305856,0.0150756972,0.0163343647,0.0180108609,True,False,,,,,
80,0.0456905299,0.0333136193,0.0329072264,0.0327786304,0.0392345801,0.0331104228,False,True,,,,,
81,0.0260729276,0.0204023467,0.014445468,0.0246939902,0.0253834589,0.0174239073,False,True,,,,,
82,0.0167387877,0.0127164163,0.010205674,0.0157625206,0.0162506542,0.0114610452,False,True,,,,,
83,0.0290003059,0.0287449733,0.0215478046,0.0191615987,0.0240809523,0.0251463889,True,False,,,,,
84,0.0270720397,0.0190628002,0.0195088611,0.0190323222,0.0230521809,0.0192858306,False,True,,,,,
85,0.0349027995,0.0389113346,0.0356066157,0.0390747968,0.0369887982,0.0372589751,True,False,,,,,
86,0.032371558,0.0365688707,0.0209353997,0.0278189774,0.0300952677,0.0287521352,False,True,,,,,
87,0.0211669605,0.0155023076,0.0244604203,0.0177952228,0.0194810917,0.019981364,True,False,,,,,
88,0.0301295119,0.0417556253,0.0286282453,0.0451719786,0.0376507453,0.0351919353,False,True,,,,,
89,0.0112362863,0.0167381919,0.0152341785,0.0097412794,0.0104887828,0.0159861852,True,False,,,,,
90,0.0252938472,0.0357646685,0.0267070866,0.0367980973,0.0310459722,0.0312358776,True,False,,,,,
91,0.022841486,0.012897923,0.014645617,0.0173909392,0.0201162126,0.01377177,False,True,,,,,
92,0.0341391282,0.0197664648,0.0353982776,0.0432265429,0.0386828356,0.0275823712,False,True,,,,,
93,0.0248058786,0.0163587517,0.0275297306,0.032517288,0.0286615833,0.0219442412,False,True,,,,,
94,0.0275983839,0.0385451354,0.0204796792,0.0391650993,0.0333817416,0.0295124073,False,True,,,,,
95,0.0148707863,0.0137214126,0.0099607066,0.0165689364,0.0157198613,0.0118410596,False,True,,,,,
96,0.0273641091,0.015017783,0.0189133198,0.0229891054,0.0251766072,0.0169655514,False,True,,,,,
97,0.0194605145,0.019161751,0.0178586123,0.0255419025,0.0225012085,0.0185101817,False,True,,,,,
98,0.0232170688,0.0272695832,0.0240386719,0.0182833525,0.0207502107,0.0256541276,True,False,,,,,
99,0.031559826,0.0402195205,0.0322979753,0.0376448003,0.0346023131,0.0362587479,True,False,,,,,
100,0.0566486619,0.0327349823,0.0365002181,0.0366320219,0.0466403419,0.0346176002,False,True,,,,,
101,0.0190985695,0.0113420187,0.015449969,0.0176141149,0.0183563422,0.0133959939,False,True,,,,,
102,0.0200459947,0.015750688,0.0164039029,0.018964732,0.0195053634,0.0160772954,False,True,,,,,
103,0.0398508658,0.0254444438,0.0214541997,0.0396898091,0.0397703374,0.0234493217,False,True,,,,,
104,0.0205034433,0.0188949118,0.015422035,0.0148587622,0.0176811028,0.0171584734,False,True,,,,,
105,0.0530983744,0.0441680093,0.047118488,0.036151789,0.0446250817,0.0456432487,True,False,,,,,
106,0.0090785699,0.0108197828,0.0136909213,0.0111883589,0.0101334644,0.0122553521,True,False,,,,,
107,0.0311792296,0.0269608923,0.0226894724,0.0344535,0.0328163648,0.0248251824,False,True,,,,,
108,0.0177946319,0.0153408991,0.021130328,0.0246038843,0.0211992581,0.0182356135,False,True,,,,,
109,0.0213697233,0.0127191268,0.0141857079,0.0173805185,0.0193751209,0.0134524174,False,True,,,,,
110,0.023110187,0.017534943,0.0201953508,0.0248125259,0.0239613564,0.0188651469,False,True,,,,,
111,0.0314535226,0.0248816304,0.0253908188,0.0208212408,0.0261373817,0.0251362246,False,True,,,,,
112,0.0263323019,0.025025015,0.0190620628,0.0238512634,0.0250917827,0.0220435389,False,True,,,,,
113,0.0313784186,0.0308955291,0.0363168927,0.0269974245,0.0291879216,0.0336062109,True,False,,,,,
114,0.0282309139,0.0280252229,0.0378227436,0.0414568335,0.0348438737,0.0329239833,False,True,,,,,
115,0.0255405872,0.0138691208,0.0154539969,0.0129423516,0.0192414694,0.0146615588,False,True,,,,,
116,0.0244589298,0.0208363284,0.0207263777,0.0236725064,0.0240657181,0.020781353,False,True,,,,,
117,0.0353147558,0.0313464976,0.0308204449,0.0198055138,0.0275601348,0.0310834713,True,False,,,,,
118,0.0162291855,0.0139750198,0.0174861349,0.0158659003,0.0160475429,0.0157305774,False,True,,,,,
119,0.0265858836,0.0119594617,0.0196649728,0.0357805094,0.0311831965,0.0158122172,False,True,,,,,
120,0.0346970551,0.0245311833,0.0241677139,0.0187170214,0.0267070382,0.0243494486,False,True,,,,,
121,0.0083143889,0.0104522801,0.0110681984,0.0094399639,0.0088771764,0.0107602393,True,False,,,,,
122,0.0245862222,0.016959579,0.0208851688,0.0228761324,0.0237311773,0.0189223739,False,True,,,,,
123,0.0259961948,0.0265829027,0.027657224,0.0182065438,0.0221013693,0.0271200633,True,False,,,,,
124,0.0340349676,0.0197568019,0.0258202191,0.0363596126,0.0351972901,0.0227885105,False,True,,,,,
125,0.0308414347,0.0243058805,0.0261354176,0.0298393982,0.0303404164,0.0252206491,False,True,,,,,
126,0.0207376825,0.0114355526,0.0177795424,0.0253480182,0.0230428503,0.0146075475,False,True,,,,,
127,0.0296676687,0.0205661374,0.0252075581,0.032167588,0.0309176283,0.0228868478,False,True,,,,,
128,0.0250456719,0.0265903922,0.0265584739,0.0227214324,0.0238835522,0.0265744331,True,False,,,,,
129,0.0188242254,0.0246847123,0.0193819757,0.0223753367,0.0205997811,0.022033344,True,False,,,,,
130,0.0116997643,0.0089555125,0.0089304855,0.0099614648,0.0108306145,0.008942999,False,True,,,,,
131,0.0178368649,0.0203719342,0.0230904235,0.017678284,0.0177575745,0.0217311789,True,False,,,,,
132,0.0164421827,0.016080565,0.0206672043,0.017713899,0.0170780409,0.0183738846,True,False,,,,,
133,0.0250532889,0.0257731217,0.0259774712,0.0324851517,0.0287692203,0.0258752965,False,True,,,,,
134,0.0437204698,0.0345860779,0.0382240172,0.0415018971,0.0426111834,0.0364050475,False,True,,,,,
135,0.018187561,0.0102362817,0.0096144595,0.016104531,0.017146046,0.0099253706,False,True,,,,,
136,0.0189853239,0.0115347015,0.0106590155,0.0144528677,0.0167190958,0.0110968585,False,True,,,,,
137,0.0256852345,0.0213017665,0.0194001043,0.0207426795,0.023213957,0.0203509354,False,True,,,,,
138,0.0248682895,0.0221275187,0.0198879609,0.0224200561,0.0236441728,0.0210077398,False,True,,,,,
139,0.0165562885,0.0177670565,0.0189633708,0.0198739749,0.0182151317,0.0183652136,True,False,,,,,
140,0.0427960073,0.0394723016,0.0414238316,0.0427563832,0.0427761953,0.0404480666,False,True,,,,,
141,0.0242660679,0.0269972154,0.0322534657,0.0295505863,0.0269083271,0.0296253406,True,False,,,,,
142,0.0299444661,0.0272749307,0.0291266355,0.0317797363,0.0308621012,0.0282007831,False,True,,,,,
143,0.0249778845,0.027390646,0.0260790834,0.0344930983,0.0297354914,0.0267348647,False,True,,,,,
144,0.0314227506,0.0126888203,0.0170129607,0.0175702073,0.0244964789,0.0148508905,False,True,,,,,
145,0.0225575205,0.0164946948,0.0210715679,0.030892552,0.0267250362,0.0187831314,False,True,,,,,
146,0.0189633776,0.0171950315,0.0158561374,0.0224295516,0.0206964646,0.0165255844,False,True,,,,,
147,0.0289083022,0.0304537617,0.0272262511,0.0248238911,0.0268660966,0.0288400064,True,False,,,,,
148,0.0192177819,0.0191516551,0.0151645242,0.0147775464,0.0169976642,0.0171580896,True,False,,,,,
149,0.0127807769,0.0117768593,0.0157039942,0.022893099,0.0178369379,0.0137404268,False,True,,,,,
150,0.0186369738,0.0191274152,0.0174323812,0.0396732254,0.0291550996,0.0182798982,False,True,,,,,
151,0.0158693538,0.0168124963,0.022515108,0.0296969119,0.0227831328,0.0196638022,False,True,,,,,
152,0.0168485078,0.0192046149,0.0172389073,0.015813709,0.0163311084,0.0182217611,True,False,,,,,
153,0.0316077446,0.0217051204,0.0192381615,0.0219896646,0.0267987046,0.020471641,False,True,,,,,
154,0.0194337847,0.0141069325,0.0130832323,0.0203877974,0.019910791,0.0135950824,False,True,,,,,
155,0.0387736221,0.03274749,0.0259729477,0.0394474579,0.03911054,0.0293602189,False,True,,,,,
156,0.0451658239,0.0608953875,0.0443323675,0.0393365892,0.0422512065,0.0526138775,True,False,,,,,
157,0.0247806504,0.0186982772,0.0219711453,0.0260017468,0.0253911986,0.0203347113,False,True,,,,,
158,0.0388850409,0.0205326138,0.0329035376,0.0191396313,0.0290123361,0.0267180757,False,True,,,,,
159,0.0298672102,0.0225213276,0.0197763378,0.0243698178,0.027118514,0.0211488327,False,True,,,,,
160,0.0165842156,0.0141173898,0.0167018974,0.0184091155,0.0174966655,0.0154096436,False,True,,,,,
161,0.0351948314,0.043192634,0.0416456862,0.0454948526,0.040344842,0.0424191601,True,False,,,,,
162,0.0274482164,0.014296784,0.0231567469,0.0234173685,0.0254327924,0.0187267654,False,True,,,,,
163,0.0212217339,0.0205502509,0.0159557774,0.0193834971,0.0203026155,0.0182530141,False,True,,,,,
164,0.0295282863,0.0374527127,0.0291733581,0.0438855041,0.0367068952,0.0333130354,False,True,,,,,
165,0.0112023037,0.0129148287,0.0124751593,0.0166438243,0.013923064,0.012694994,False,True,,,,,
166,0.0271547499,0.0161435933,0.021015296,0.0226271754,0.0248909626,0.0185794446,False,True,,,,,
167,0.030377125,0.022768079,0.0243853405,0.0286787529,0.0295279389,0.0235767097,False,True,,,,,
168,0.0392141429,0.0396658197,0.0372681939,0.0289637302,0.0340889366,0.0384670068,True,False,,,,,
169,0.0316719438,0.0196861948,0.0272896301,0.0294073097,0.0305396268,0.0234879125,False,True,,,,,
170,0.0308604296,0.0345030725,0.0258273223,0.0345381416,0.0326992856,0.0301651974,False,True,,,,,
171,0.0193682333,0.0131769422,0.0199666189,0.0257236294,0.0225459314,0.0165717805,False,True,,,,,
172,0.0178742576,0.0128974416,0.008238238,0.0157615163,0.0168178869,0.0105678398,False,True,,,,,
173,0.0245909114,0.023603273,0.0234864448,0.0194753357,0.0220331235,0.0235448589,True,False,,,,,
174,0.0189328865,0.017994564,0.0152173286,0.0240560729,0.0214944797,0.0166059463,False,True,,,,,
175,0.0314674734,0.0226235102,0.0327711758,0.0399602743,0.0357138739,0.027697343,False,True,,,,,
176,0.0312236005,0.0275061032,0.0394728794,0.038243317,0.0347334587,0.0334894913,False,True,,,,,
177,0.0296036167,0.0216019023,0.0184416313,0.0217616565,0.0256826366,0.0200217668,False,True,,,,,
178,0.0201523799,0.0255156783,0.022206584,0.0180780249,0.0191152024,0.0238611311,True,False,,,,,
179,0.0185703791,0.0265198232,0.0243996357,0.0193381589,0.018954269,0.0254597294,True,False,,,,,
180,0.0360750748,0.0264986842,0.0233405722,0.0354868902,0.0357809825,0.0249196282,False,True,,,,,
181,0.0232008322,0.0138481875,0.0139944758,0.0217377193,0.0224692757,0.0139213316,False,True,,,,,
182,0.0237477375,0.0178769349,0.0156847765,0.022044538,0.0228961378,0.0167808557,False,True,,,,,
183,0.0147404818,0.0117557434,0.0114104134,0.012273999,0.0135072404,0.0115830784,False,True,,,,,
184,0.0193318039,0.0167410307,0.0140394155,0.0211691699,0.0202504869,0.0153902231,False,True,,,,,
185,0.0220991911,0.0235701777,0.0214533886,0.0241423339,0.0231207625,0.0225117832,False,True,,,,,
186,0.0245568511,0.0217046762,0.0252217521,0.0197499534,0.0221534023,0.0234632142,True,False,,,,,
187,0.0161627043,0.0165108241,0.0171573832,0.0164245922,0.0162936483,0.0168341036,True,False,,,,,
188,0.0257183409,0.0426043415,0.0373373308,0.047020036,0.0363691885,0.0399708361,True,False,,,,,
189,0.0294059547,0.0341922709,0.0239736403,0.0253843431,0.0273951489,0.0290829556,True,False,,,,,
190,0.0201368794,0.0177020104,0.0167302145,0.0256624999,0.0228996897,0.0172161124,False,True,,,,,
191,0.0093509804,0.0109474386,0.0132888921,0.014854084,0.0121025322,0.0121181654,True,False,,,,,
192,0.0268241067,0.018712591,0.0171103351,0.0192462479,0.0230351773,0.017911463,False,True,,,,,
193,0.0193984385,0.0178842263,0.0172231155,0.0154154978,0.0174069681,0.0175536709,True,False,,,,,
194,0.0252212871,0.025107147,0.0242089408,0.026642308,0.0259317976,0.0246580439,False,True,,,,,
195,0.0166869168,0.0198881027,0.0177383863,0.0300972623,0.0233920896,0.0188132445,False,True,,,,,
196,0.0218071324,0.0163587055,0.0215780255,0.0234167488,0.0226119406,0.0189683655,False,True,,,,,
197,0.0225938784,0.0235356595,0.0214977466,0.0204070622,0.0215004703,0.022516703,True,False,,,,,
198,0.029862122,0.0210941125,0.0198117839,0.030688128,0.030275125,0.0204529482,False,True,,,,,
199,0.0620474515,0.0479831585,0.0392772664,0.0753423152,0.0686948834,0.0436302125,False,True,,,,,
200,0.0272757881,0.0199236863,0.0237902671,0.0218996738,0.024587731,0.0218569767,False,True,,,,,
201,0.0191748423,0.0120127312,0.0100161202,0.0122293884,0.0157021153,0.0110144257,False,True,,,,,
202,0.0161253689,0.010624286,0.013043258,0.0361453997,0.0261353843,0.011833772,False,True,,,,,
203,0.0150327455,0.0163925095,0.0272139134,0.0167619156,0.0158973305,0.0218032114,True,False,,,,,
204,0.0174759084,0.0172002573,0.0158446262,0.015157498,0.0163167032,0.0165224417,True,False,,,,,
205,0.0216906981,0.0211093824,0.0138938374,0.0264460116,0.0240683548,0.0175016099,False,True,,,,,
206,0.0237113395,0.0274260886,0.0304003893,0.0307563036,0.0272338215,0.028913239,True,False,,,,,
207,0.0128525656,0.0135129117,0.0095202401,0.0150437089,0.0139481372,0.0115165759,False,True,,,,,
208,0.0330551538,0.0365698313,0.037915148,0.0437606894,0.0384079216,0.0372424896,False,True,,,,,
209,0.0075830346,0.0089922973,0.0061496034,0.0095970353,0.0085900349,0.0075709504,False,True,,,,,
210,0.0295000395,0.0352196361,0.0326912988,0.0314149512,0.0304574953,0.0339554675,True,False,,,,,
211,0.0190446467,0.0100692273,0.0126273442,0.0134232302,0.0162339385,0.0113482857,False,True,,,,,
