,car,glass,plate,truck,Vehicles,Dinnerware,closer to vehicles,closer to dinnerware,,,,
0,0.102208428,0.0651413034,0.0520338563,0.0984009717,0.1003046998,0.0585875799,False,True,,,,
1,0.0716162428,0.0912737346,0.1060986572,0.1050014136,0.0883088282,0.0986861959,True,False,,,,
2,0.1056430981,0.0889605197,0.067261472,0.0896621758,0.097652637,0.0781109959,False,True,,,,
3,0.0787567986,0.0676019615,0.0603178295,0.1235516446,0.1011542216,0.0639598955,False,True,,,,
4,0.0545918215,0.0671911867,0.049821777,0.0570557751,0.0558237983,0.0585064818,True,False,,,,
5,0.0969773896,0.1015522963,0.0757673736,0.0775386488,0.0872580192,0.0886598349,True,False,,,,
6,0.1206060539,0.082125233,0.0911337468,0.1093212762,0.1149636651,0.0866294899,False,True,,,,
7,0.1866070058,0.1626242882,0.1635735301,0.1139866223,0.1502968141,0.1630989091,True,False,,Ordering,,
8,0.1119871559,0.0833629284,0.0876354458,0.0753864482,0.093686802,0.0854991871,False,True,,First,Vehicle,3040
9,0.1174222191,0.1031462287,0.1000912426,0.0840308695,0.1007265443,0.1016187356,True,False,,Second,Dinnerware,100
10,0.0385552602,0.0552872379,0.0377520896,0.0452612049,0.0419082326,0.0465196638,True,False,,,,
11,0.0804533504,0.0655910082,0.0555639476,0.0866173491,0.0835353497,0.0605774779,False,True,,Number,,
12,0.0642937709,0.0665439577,0.0569323165,0.0777489569,0.0710213639,0.0617381371,False,True,,Break Closer to Vehicles,984,
13,0.099632575,0.0755563696,0.082331295,0.0949870182,0.0973097966,0.0789438323,False,True,,Break Closer to Dinnerware,5016,
14,0.067426801,0.0422463317,0.0417062033,0.0466841024,0.0570554517,0.0419762675,False,True,,,,
15,0.0854575673,0.0663965191,0.056048909,0.0664181358,0.0759378515,0.0612227141,False,True,,Proportion,,
16,0.156358025,0.1110117182,0.1238473013,0.1057812365,0.1310696307,0.1174295098,False,True,,Break Closer to Vehicles,0.164,
17,0.1215385519,0.1096273436,0.0710300342,0.0763251368,0.0989318443,0.0903286889,False,True,,Break Closer to Dinnerware,0.836,
18,0.1814780869,0.1287721952,0.1073623312,0.1053624246,0.1434202558,0.1180672632,False,True,,,,
19,0.05847239,0.044420685,0.0357137839,0.0463657155,0.0524190528,0.0400672344,False,True,,,,
20,0.1179781916,0.0959629253,0.0802925883,0.0726512866,0.0953147391,0.0881277568,False,True,,,,
21,0.0576494973,0.0494474572,0.0336180811,0.0432059968,0.050427747,0.0415327691,False,True,,,,
22,0.0434069748,0.0337372708,0.0308139327,0.0355382847,0.0394726297,0.0322756018,False,True,,,,
23,0.0849161356,0.0745087731,0.0529968532,0.0901404217,0.0875282787,0.0637528132,False,True,,,,
24,0.1046174193,0.1102233013,0.0792517771,0.1131701565,0.1088937879,0.0947375392,False,True,,,,
25,0.1354713275,0.1014784703,0.0899115619,0.1121958978,0.1238336126,0.0956950161,False,True,,,,
26,0.0690324471,0.043389879,0.0582513394,0.0646741153,0.0668532812,0.0508206092,False,True,,,,
27,0.0318772962,0.0493715818,0.0551351947,0.0428067397,0.0373420179,0.0522533882,True,False,,,,
28,0.0819345395,0.0754817082,0.0808732453,0.0824780575,0.0822062985,0.0781774767,False,True,,,,
29,0.1212604778,0.0871014704,0.077847498,0.0787054358,0.0999829568,0.0824744842,False,True,,,,
30,0.0671968855,0.0711694667,0.0601748154,0.0806521554,0.0739245205,0.065672141,False,True,,,,
31,0.1037085534,0.0780711421,0.0831324769,0.0664264941,0.0850675237,0.0806018095,False,True,,,,
32,0.0837643156,0.0691390545,0.0599398871,0.0864349009,0.0850996082,0.0645394708,False,True,,,,
