,car,glass,plate,truck,Vehicles,Dinnerware,closer to vehicles,closer to dinnerware,,,,
0,0.1151144611,0.068820038,0.0649360338,0.1511066841,0.1331105726,0.0668780359,False,True,,,,
1,0.0613203023,0.0640013752,0.0669512231,0.069979152,0.0656497271,0.0654762992,False,True,,,,
2,0.0928692101,0.0752107903,0.0745411617,0.1303573556,0.1116132828,0.074875976,False,True,,,,
3,0.0732692449,0.0574930044,0.0581084009,0.0985134302,0.0858913376,0.0578007027,False,True,,,,
4,0.0652133911,0.0623149594,0.0609230828,0.0743813883,0.0697973897,0.0616190211,False,True,,Ordering,,
5,0.0861552806,0.0740169647,0.0813700538,0.0829803323,0.0845678064,0.0776935092,False,True,,First,Vehicle,3040
6,0.0795644923,0.0617397639,0.0622275445,0.0744506401,0.0770075662,0.0619836542,False,True,,Second,Dinnerware,50
7,0.1206875022,0.0823832813,0.0787751228,0.0984627727,0.1095751375,0.080579202,False,True,,,,
8,0.0724415206,0.050252673,0.0565980845,0.0657550889,0.0690983047,0.0534253788,False,True,,Number,,
9,0.099965571,0.0801044787,0.0940215894,0.0861720483,0.0930688096,0.0870630341,False,True,,Break Closer to Vehicles,336,
10,0.0520872944,0.0367578347,0.0346640044,0.0361110687,0.0440991816,0.0357109196,False,True,,Break Closer to Dinnerware,9664,
11,0.0387673603,0.0340069673,0.0343773779,0.048695336,0.0437313481,0.0341921726,False,True,,,,
12,0.0695203793,0.071922326,0.0619452786,0.0920992,0.0808097897,0.0669338023,False,True,,Proportion,,
13,0.1242772845,0.0965397161,0.0973872825,0.1206672195,0.122472252,0.0969634993,False,True,,Break Closer to Vehicles,0.0336,
14,0.0694582433,0.0540478102,0.0436442376,0.0541893342,0.0618237887,0.0488460239,False,True,,Break Closer to Dinnerware,0.9664,
15,0.0676170339,0.0445465175,0.0490135887,0.0570928537,0.0623549438,0.0467800531,False,True,,,,
16,0.1572388165,0.1052227253,0.1291129847,0.1114192767,0.1343290466,0.117167855,False,True,,,,
17,0.0675079694,0.0580937489,0.0405736596,0.0539080028,0.0607079861,0.0493337043,False,True,,,,
18,0.1518025761,0.104248658,0.1033103642,0.1217816227,0.1367920994,0.1037795111,False,True,,,,
19,0.0523860271,0.0321385458,0.0289327428,0.0456759551,0.0490309911,0.0305356443,False,True,,,,
20,0.0742093419,0.0641586659,0.056739078,0.0707984315,0.0725038867,0.060448872,False,True,,,,
21,0.0355075539,0.0252364572,0.0204528698,0.0298583862,0.03268297,0.0228446635,False,True,,,,
22,0.0495664755,0.0385716171,0.0303980425,0.0471210182,0.0483437469,0.0344848298,False,True,,,,
23,0.0386045233,0.0316860636,0.0228161256,0.0535423632,0.0460734433,0.0272510946,False,True,,,,
24,0.0677396723,0.0448130182,0.0495284334,0.0694285469,0.0685841096,0.0471707258,False,True,,,,
25,0.1144951367,0.079364659,0.0804688732,0.0894613796,0.1019782581,0.0799167661,False,True,,,,
26,0.0467377693,0.030228012,0.0322095694,0.0392232333,0.0429805013,0.0312187907,False,True,,,,
27,0.0373672087,0.0447651332,0.0374132055,0.0401849793,0.038776094,0.0410891694,True,False,,,,
28,0.0599954287,0.0606539329,0.0546898281,0.0649805145,0.0624879716,0.0576718805,False,True,,,,
29,0.1009960655,0.0665689766,0.06672122,0.0787306682,0.0898633668,0.0666450983,False,True,,,,
30,0.0673968234,0.0608351096,0.0560261865,0.0793314694,0.0733641464,0.058430648,False,True,,,,
31,0.0826456842,0.0529783102,0.0616394333,0.0758589297,0.0792523069,0.0573088718,False,True,,,,
32,0.0711261474,0.045089851,0.0487529258,0.0787845998,0.0749553736,0.0469213884,False,True,,,,
33,0.0515166547,0.0449797051,0.0379992857,0.0543874288,0.0529520417,0.0414894954,False,True,,,,
34,0.0611304166,0.0513286832,0.0400041453,0.0577902844,0.0594603505,0.0456664143,False,True,,,,
35,0.0541141596,0.0366686671,0.0366150595,0.041408215,0.0477611873,0.0366418633,False,True,,,,
36,0.0720105183,0.0540215823,0.0705345599,0.0753212847,0.0736659015,0.0622780711,False,True,,,,
37,0.1091031509,0.1081576507,0.0887853078,0.144819153,0.126961152,0.0984714793,False,True,,,,
38,0.0927181663,0.0727046776,0.0704266361,0.1250390172,0.1088785917,0.0715656569,False,True,,,,
39,0.069431914,0.0555749021,0.0492646608,0.0476140888,0.0585230014,0.0524197814,False,True,,,,
40,0.0516968985,0.0264691741,0.0260320849,0.0408208159,0.0462588572,0.0262506295,False,True,,,,
41,0.0607056372,0.0567139805,0.0508268567,0.0920848602,0.0763952487,0.0537704186,False,True,,,,
