Two Classes,,,,,,,,,,,,,,Natural Data,,,
Ordering,,,,,,,,,,,,,,Ordering,,,
Random,Random,0.4986,0.5013,,,,,,,,,,Heart,Random,Random,61,39
Vehicle (3040),Dinnerware (2690),0.2105,0.7895,,,,,,,,,,,Hamlet,Caesar,75,25
Dinnerware (2690),Vehicle (3040) ,0.2147,0.7853,,,,,,,,,,,Caesar,Hamlet,71,29
Vehicle (3040),Dinnerware (100),0.164,0.836,,,,,,,,,,,,,,
Dinnerware (2690),Vehicle (100) ,0.281,0.719,,,,,,,,,,patience,Random,Random,73,27
Dinnerware (2690),Vehicle (50) ,0.2168,0.7832,,,,,,,,,,,Hamlet,Caesar,53,47
Vehicle (3040),Dinnerware (50),0.0336,0.9664,,,,,,,,,,,Caesar,Hamlet,79,21
,,,,,,,,,,,,,,,,,
Three Classes,,,,,,,,,,,,,,,,,
Ordering,,,,,,,,,,,,,,,,,
Random,Random,Random,0.3423,0.3337,0.324,,,,,,,,,,,,
Vehicle (1981),Dinnerware (1980),News (2039),0.1227,0.2057,0.6716,,,,,,,,,,,,
Dinnerware (1980),News (2039),Vehicle (1981),0.1199,0.1985,0.6816,,,,,,,,,,,,
News (2039),Vehicle (1981),Dinnerware (1980),0.1114,0.1981,0.6905,,,,,,,,,,,,
Vehicle (1981),Dinnerware (1980),News (500),0.2253,0.1822,0.5925,,,,,,,,,,,,
Dinnerware (1980),News (2039),Vehicle (500),0.2713,0.1725,0.5562,,,,,,,,,,,,
News (2039),Vehicle (1981),Dinnerware (500),0.2466,0.1739,0.5795,,,,,,,,,,,,
Vehicle (1981),Dinnerware (1980),News (50),0.1822,0.1492,0.6686,,,,,,,,,,,,
Dinnerware (1980),News (2039),Vehicle (50),0.3814,0.4703,0.1483,,,,,,,,,,,,
News (2039),Vehicle (1981),Dinnerware (50),0.3083,0.3756,0.3161,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Natural Data,,,,,,,,,,,,,,,,
,Ordering,,,,,,,,,,,,,,,,
Heart,Random,Random,61,39,,,,,,,,,,,,,
,Hamlet,Caesar,75,25,,,,,,,,,,,,,
,Caesar,Hamlet,71,29,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
patience,Random,Random,73,27,,,,,,,,,,,,,
,Hamlet,Caesar,53,47,,,,,,,,,,,,,
,Caesar,Hamlet,79,21,,,,,,,,,,,,,
